Rank,D,E,ND,Total,year,medal,Name,Nation,round_final,round_qual
64,5.2,8.433,0.0,13.633,2019,0,25,80,False,True
65,5.4,8.233,0.0,13.633,2019,0,270,26,False,True
66,5.8,7.833,0.0,13.633,2019,0,322,74,False,True
67,5.3,8.4,-0.1,13.6,2019,0,304,52,False,True
68,5.2,8.4,0.0,13.6,2019,0,162,68,False,True
69,5.4,8.2,0.0,13.6,2019,0,194,39,False,True
70,5.2,8.366,0.0,13.566,2019,0,158,27,False,True
71,5.3,8.266,0.0,13.566,2019,0,145,7,False,True
72,5.4,8.166,0.0,13.566,2019,0,272,44,False,True
73,5.4,8.133,0.0,13.533,2019,0,27,14,False,True
74,5.8,7.733,0.0,13.533,2019,0,199,37,False,True
75,5.1,8.4,0.0,13.5,2019,0,330,41,False,True
75,5.1,8.4,0.0,13.5,2019,0,261,77,False,True
77,5.5,8.0,0.0,13.5,2019,0,265,11,False,True
77,5.5,8.0,0.0,13.5,2019,0,43,32,False,True
79,5.3,8.266,-0.1,13.466,2019,0,139,6,False,True
80,5.8,7.766,-0.1,13.466,2019,0,306,70,False,True
81,5.7,7.766,0.0,13.466,2019,0,289,76,False,True
82,5.2,8.233,0.0,13.433,2019,0,333,10,False,True
83,5.4,8.133,-0.1,13.433,2019,0,33,27,False,True
84,5.4,8.033,0.0,13.433,2019,0,71,7,False,True
84,5.4,8.033,0.0,13.433,2019,0,294,52,False,True
86,5.5,7.933,0.0,13.433,2019,0,283,11,False,True
86,5.5,7.933,0.0,13.433,2019,0,181,63,False,True
88,5.0,8.4,0.0,13.4,2019,0,1,77,False,True
89,5.2,8.2,0.0,13.4,2019,0,134,47,False,True
90,5.3,8.1,0.0,13.4,2019,0,12,1,False,True
91,5.9,7.9,-0.4,13.4,2019,0,169,68,False,True
92,5.3,8.166,-0.1,13.366,2019,0,315,35,False,True
93,5.4,7.933,0.0,13.333,2019,0,290,80,False,True
94,5.6,7.733,0.0,13.333,2019,0,14,76,False,True
95,4.9,8.408,0.0,13.308,2019,0,217,4,False,True
96,5.4,8.0,-0.1,13.3,2019,0,242,26,False,True
97,5.6,7.8,-0.1,13.3,2019,0,105,73,False,True
98,5.5,7.8,0.0,13.3,2019,0,132,28,False,True
98,5.5,7.8,0.0,13.3,2019,0,176,79,False,True
100,5.6,7.7,0.0,13.3,2019,0,140,4,False,True
101,5.7,7.6,0.0,13.3,2019,0,284,2,False,True
102,4.8,8.466,0.0,13.266,2019,0,31,8,False,True
103,5.1,8.166,0.0,13.266,2019,0,82,19,False,True
104,5.2,8.066,0.0,13.266,2019,0,255,52,False,True
105,5.5,7.766,0.0,13.266,2019,0,111,19,False,True
106,4.9,8.333,0.0,13.233,2019,0,214,50,False,True
107,5.3,8.033,-0.1,13.233,2019,0,64,20,False,True
108,5.7,7.533,0.0,13.233,2019,0,189,64,False,True
109,5.3,7.9,0.0,13.2,2019,0,84,56,False,True
110,5.4,7.8,0.0,13.2,2019,0,316,75,False,True
111,5.7,7.566,-0.1,13.166,2019,0,305,25,False,True
112,5.6,7.566,0.0,13.166,2019,0,267,80,False,True
113,5.0,8.133,0.0,13.133,2019,0,167,77,False,True
114,5.2,7.933,0.0,13.133,2019,0,28,58,False,True
115,5.4,7.733,0.0,13.133,2019,0,205,5,False,True
116,5.5,7.6,0.0,13.1,2019,0,19,5,False,True
117,5.1,7.966,0.0,13.066,2019,0,50,57,False,True
118,5.2,7.866,0.0,13.066,2019,0,174,31,False,True
119,5.3,7.766,0.0,13.066,2019,0,96,26,False,True
