Rank,D,E,ND,Total,year,medal,Name,Nation,round_final,round_qual
73,5.7,7.533,0.0,13.233,2018.0,0,319,72,False,True
74,5.5,7.725,0.0,13.225,2018.0,0,113,76,False,True
75,4.6,8.6,0.0,13.2,2018.0,0,124,18,False,True
76,4.7,8.5,0.0,13.2,2018.0,0,259,44,False,True
76,4.7,8.5,0.0,13.2,2018.0,0,104,50,False,True
78,4.8,8.4,0.0,13.2,2018.0,0,184,37,False,True
79,4.9,8.3,0.0,13.2,2018.0,0,307,66,False,True
80,6.1,7.1,0.0,13.2,2018.0,0,217,30,False,True
81,4.8,8.366,0.0,13.166,2018.0,0,175,62,False,True
82,5.1,8.066,0.0,13.166,2018.0,0,59,4,False,True
83,5.4,7.766,0.0,13.166,2018.0,0,163,62,False,True
84,4.9,8.233,0.0,13.133,2018.0,0,229,64,False,True
85,4.9,8.2,0.0,13.1,2018.0,0,42,62,False,True
86,5.1,7.966,0.0,13.066,2018.0,0,150,14,False,True
87,5.2,7.866,0.0,13.066,2018.0,0,260,44,False,True
88,4.5,8.533,0.0,13.033,2018.0,0,93,25,False,True
89,5.1,7.933,0.0,13.033,2018.0,0,253,76,False,True
90,4.8,8.2,0.0,13.0,2018.0,0,172,75,False,True
91,5.3,7.7,0.0,13.0,2018.0,0,322,11,False,True
92,4.9,8.066,0.0,12.966,2018.0,0,45,56,False,True
93,4.4,8.533,0.0,12.933,2018.0,0,126,41,False,True
94,4.9,8.033,0.0,12.933,2018.0,0,211,4,False,True
95,5.6,7.333,0.0,12.933,2018.0,0,118,76,False,True
96,4.7,8.166,0.0,12.866,2018.0,0,230,25,False,True
97,4.9,7.966,0.0,12.866,2018.0,0,202,7,False,True
98,4.8,8.033,0.0,12.833,2018.0,0,29,36,False,True
99,4.9,7.933,0.0,12.833,2018.0,0,103,9,False,True
100,4.2,8.6,0.0,12.8,2018.0,0,206,18,False,True
101,4.7,8.1,0.0,12.8,2018.0,0,248,73,False,True
102,5.1,7.7,0.0,12.8,2018.0,0,238,56,False,True
103,4.5,8.266,0.0,12.766,2018.0,0,209,41,False,True
103,4.5,8.266,0.0,12.766,2018.0,0,13,41,False,True
105,4.7,8.066,0.0,12.766,2018.0,0,64,11,False,True
106,5.5,7.266,0.0,12.766,2018.0,0,183,9,False,True
107,5.6,7.166,0.0,12.766,2018.0,0,254,76,False,True
108,4.8,7.933,0.0,12.733,2018.0,0,315,10,False,True
109,5.0,7.733,0.0,12.733,2018.0,0,269,2,False,True
110,4.3,8.416,0.0,12.716,2018.0,0,77,66,False,True
111,4.2,8.5,0.0,12.7,2018.0,0,106,25,False,True
112,4.6,8.1,0.0,12.7,2018.0,0,144,35,False,True
113,4.8,7.9,0.0,12.7,2018.0,0,264,27,False,True
114,4.0,8.633,0.0,12.633,2018.0,0,246,8,False,True
115,4.6,8.033,0.0,12.633,2018.0,0,208,52,False,True
116,4.1,8.5,0.0,12.6,2018.0,0,114,51,False,True
117,4.6,8.0,0.0,12.6,2018.0,0,28,8,False,True
118,4.9,7.7,0.0,12.6,2018.0,0,3,31,False,True
119,4.4,8.166,0.0,12.566,2018.0,0,109,28,False,True
120,4.6,7.966,0.0,12.566,2018.0,0,300,27,False,True
121,4.5,8.033,0.0,12.533,2018.0,0,280,51,False,True
122,4.6,7.933,0.0,12.533,2018.0,0,30,26,False,True
122,4.6,7.933,0.0,12.533,2018.0,0,100,69,False,True
124,4.7,7.833,0.0,12.533,2018.0,0,226,7,False,True
124,4.7,7.833,0.0,12.533,2018.0,0,277,51,False,True
126,4.0,8.525,0.0,12.525,2018.0,0,32,28,False,True
127,4.3,8.2,0.0,12.5,2018.0,0,263,31,False,True
128,4.2,8.266,0.0,12.466,2018.0,0,60,4,False,True
129,5.0,7.466,0.0,12.466,2018.0,0,134,6,False,True
130,4.5,7.933,0.0,12.433,2018.0,0,130,47,False,True
131,4.2,8.2,0.0,12.4,2018.0,0,152,2,False,True
131,4.2,8.2,0.0,12.4,2018.0,0,295,4,False,True
133,4.9,7.466,0.0,12.366,2018.0,0,14,73,False,True
134,5.1,7.266,0.0,12.366,2018.0,0,210,63,False,True
135,4.9,7.433,0.0,12.333,2018.0,0,53,38,False,True
136,4.4,7.9,0.0,12.3,2018.0,0,213,6,False,True
137,4.6,7.7,0.0,12.3,2018.0,0,49,31,False,True
138,4.5,7.766,0.0,12.266,2018.0,0,279,38,False,True
139,4.3,7.933,0.0,12.233,2018.0,0,164,66,False,True
140,3.8,8.4,0.0,12.2,2018.0,0,95,52,False,True
141,3.9,8.3,0.0,12.2,2018.0,0,276,65,False,True
142,4.2,8.0,0.0,12.2,2018.0,0,204,36,False,True
143,4.6,7.566,0.0,12.166,2018.0,0,240,75,False,True
144,4.1,8.033,0.0,12.133,2018.0,0,105,19,False,True
144,4.1,8.033,0.0,12.133,2018.0,0,71,19,False,True
146,4.3,7.833,0.0,12.133,2018.0,0,274,76,False,True
146,4.3,7.833,0.0,12.133,2018.0,0,1,73,False,True
148,4.5,7.633,0.0,12.133,2018.0,0,234,26,False,True
149,4.6,7.533,0.0,12.133,2018.0,0,157,66,False,True
150,4.7,7.408,0.0,12.108,2018.0,0,115,51,False,True
151,3.7,8.4,0.0,12.1,2018.0,0,187,5,False,True
152,4.2,7.9,0.0,12.1,2018.0,0,4,34,False,True
152,4.2,7.9,0.0,12.1,2018.0,0,297,35,False,True
154,4.5,7.6,0.0,12.1,2018.0,0,200,5,False,True
154,4.5,7.6,0.0,12.1,2018.0,0,68,53,False,True
156,4.6,7.5,0.0,12.1,2018.0,0,168,27,False,True
157,4.7,7.4,0.0,12.1,2018.0,0,89,8,False,True
158,4.2,7.866,0.0,12.066,2018.0,0,273,5,False,True
159,5.5,6.566,0.0,12.066,2018.0,0,149,47,False,True
160,4.2,7.833,0.0,12.033,2018.0,0,123,36,False,True
161,4.1,7.9,0.0,12.0,2018.0,0,224,63,False,True
162,4.3,7.7,0.0,12.0,2018.0,0,8,58,False,True
163,4.4,7.6,0.0,12.0,2018.0,0,247,17,False,True
164,3.4,8.566,0.0,11.966,2018.0,0,70,19,False,True
165,4.3,7.666,0.0,11.966,2018.0,0,35,36,False,True
166,5.2,6.766,0.0,11.966,2018.0,0,275,56,False,True
167,5.3,6.666,0.0,11.966,2018.0,0,112,76,False,True
168,4.7,7.233,0.0,11.933,2018.0,0,287,67,False,True
169,3.9,8.0,0.0,11.9,2018.0,0,47,73,False,True
170,3.7,8.1,0.0,11.8,2018.0,0,50,50,False,True
171,4.2,7.566,0.0,11.766,2018.0,0,146,52,False,True
172,4.4,7.333,0.0,11.733,2018.0,0,85,27,False,True
173,4.2,7.366,0.0,11.566,2018.0,0,236,63,False,True
174,4.2,7.333,0.0,11.533,2018.0,0,306,61,False,True
175,4.9,6.6,0.0,11.5,2018.0,0,292,44,False,True
176,4.6,6.733,0.0,11.333,2018.0,0,25,14,False,True
177,4.6,6.7,0.0,11.3,2018.0,0,55,14,False,True
178,3.3,7.966,0.0,11.266,2018.0,0,241,75,False,True
179,3.4,7.766,0.0,11.166,2018.0,0,289,6,False,True
180,3.9,7.1,0.0,11.0,2018.0,0,96,35,False,True
181,3.2,7.533,0.0,10.733,2018.0,0,132,21,False,True
182,2.8,8.166,-0.3,10.666,2018.0,0,282,19,False,True
183,3.8,6.6,0.0,10.4,2018.0,0,181,46,False,True
184,2.7,7.566,0.0,10.266,2018.0,0,33,53,False,True
185,3.7,6.866,-0.3,10.266,2018.0,0,266,39,False,True
186,4.0,6.1,-0.3,9.8,2018.0,0,312,41,False,True
187,3.7,6.1,0.0,9.8,2018.0,0,10,58,False,True
188,4.1,5.7,0.0,9.8,2018.0,0,237,63,False,True
189,3.2,7.2,-4.0,6.4,2018.0,0,233,47,False,True
190,2.2,8.383,-4.3,6.283,2018.0,0,102,16,False,True
191,2.5,7.633,-4.0,6.133,2018.0,0,177,16,False,True
192,2.9,7.3,-4.3,5.9,2018.0,0,137,67,False,True
193,3.6,6.3,-4.0,5.9,2018.0,0,174,76,False,True
194,2.1,7.666,-4.3,5.466,2018.0,0,31,16,False,True
1,6.2,8.733,0.0,14.933,2019.0,0,121,69,True,False
2,6.3,8.6,0.0,14.9,2019.0,0,193,37,True,False
3,6.2,8.6,0.0,14.8,2019.0,0,267,26,True,False
4,6.3,8.433,0.0,14.733,2019.0,1,92,28,True,False
5,6.2,8.525,0.0,14.725,2019.0,0,36,9,True,False
6,6.3,8.366,0.0,14.666,2019.0,0,80,60,True,False
7,6.1,8.1,0.0,14.2,2019.0,0,39,3,True,False
8,6.1,8.066,0.0,14.166,2019.0,0,219,76,True,False
1,6.2,8.658,0.0,14.858,2019.0,0,121,69,False,True
2,6.1,8.6,0.0,14.7,2019.0,0,36,9,False,True
3,6.2,8.5,0.0,14.7,2019.0,0,267,26,False,True
4,6.3,8.4,0.0,14.7,2019.0,1,92,28,False,True
5,6.3,8.366,0.0,14.666,2019.0,0,193,37,False,True
6,6.1,8.5,0.0,14.6,2019.0,0,80,60,False,True
7,6.0,8.566,0.0,14.566,2019.0,0,219,76,False,True
8,6.1,8.466,0.0,14.566,2019.0,0,39,3,False,True
9,6.3,8.233,0.0,14.533,2019.0,0,122,70,False,True
10,6.2,8.3,0.0,14.5,2019.0,0,99,2,False,True
11,6.2,8.233,0.0,14.433,2019.0,0,189,33,False,True
12,6.0,8.4,0.0,14.4,2019.0,0,222,60,False,True
13,6.2,8.2,0.0,14.4,2019.0,0,21,22,False,True
14,5.9,8.433,0.0,14.333,2019.0,0,24,59,False,True
15,5.8,8.5,0.0,14.3,2019.0,0,323,13,False,True
16,6.2,8.1,0.0,14.3,2019.0,0,299,5,False,True
17,6.2,8.083,0.0,14.283,2019.0,0,321,40,False,True
18,6.0,8.133,0.0,14.133,2019.0,0,169,28,False,True
18,6.0,8.133,0.0,14.133,2019.0,0,37,60,False,True
20,6.2,7.933,0.0,14.133,2019.0,0,217,30,False,True
21,6.2,7.9,0.0,14.1,2019.0,0,79,13,False,True
22,6.0,8.066,0.0,14.066,2019.0,0,97,47,False,True
22,6.0,8.066,0.0,14.066,2019.0,0,52,9,False,True
24,6.1,7.933,0.0,14.033,2019.0,0,158,40,False,True
24,6.1,7.933,0.0,14.033,2019.0,0,293,72,False,True
26,5.8,8.2,0.0,14.0,2019.0,0,23,76,False,True
27,5.9,8.1,0.0,14.0,2019.0,0,281,13,False,True
28,6.0,7.966,0.0,13.966,2019.0,0,305,40,False,True
29,5.7,8.233,0.0,13.933,2019.0,0,227,70,False,True
30,6.0,7.933,0.0,13.933,2019.0,0,11,69,False,True
31,5.8,8.066,0.0,13.866,2019.0,0,223,6,False,True
31,5.8,8.066,0.0,13.866,2019.0,0,141,76,False,True
33,5.5,8.333,0.0,13.833,2019.0,0,88,76,False,True
34,5.7,8.133,0.0,13.833,2019.0,0,309,13,False,True
35,5.8,8.033,0.0,13.833,2019.0,0,317,76,False,True
36,5.3,8.5,0.0,13.8,2019.0,0,38,3,False,True
37,5.6,8.2,0.0,13.8,2019.0,0,319,72,False,True
38,5.8,8.0,0.0,13.8,2019.0,0,311,62,False,True
39,5.9,7.9,0.0,13.8,2019.0,0,308,11,False,True
40,5.6,8.166,0.0,13.766,2019.0,0,136,76,False,True
40,5.6,8.166,0.0,13.766,2019.0,0,232,62,False,True
42,5.7,8.066,0.0,13.766,2019.0,0,284,76,False,True
43,5.5,8.233,0.0,13.733,2019.0,0,90,64,False,True
44,5.4,8.3,0.0,13.7,2019.0,0,268,72,False,True
45,5.4,8.266,0.0,13.666,2019.0,0,57,50,False,True
46,5.6,8.066,0.0,13.666,2019.0,0,190,17,False,True
47,5.7,7.966,0.0,13.666,2019.0,0,313,70,False,True
48,5.9,7.766,0.0,13.666,2019.0,0,320,69,False,True
48,5.9,7.766,0.0,13.666,2019.0,0,12,72,False,True
50,5.4,8.233,0.0,13.633,2019.0,0,155,40,False,True
51,5.5,8.1,0.0,13.6,2019.0,0,216,24,False,True
52,5.4,8.166,0.0,13.566,2019.0,0,176,62,False,True
53,5.1,8.433,0.0,13.533,2019.0,0,58,64,False,True
54,5.4,8.133,0.0,13.533,2019.0,0,163,62,False,True
55,5.3,8.2,0.0,13.5,2019.0,0,173,76,False,True
56,5.6,7.9,0.0,13.5,2019.0,0,238,56,False,True
57,5.3,8.166,0.0,13.466,2019.0,0,239,70,False,True
58,5.3,8.133,0.0,13.433,2019.0,0,134,6,False,True
58,5.3,8.133,0.0,13.433,2019.0,0,252,11,False,True
60,4.9,8.441,0.0,13.341,2019.0,0,133,60,False,True
61,5.3,8.0,0.0,13.3,2019.0,0,82,52,False,True
62,4.6,8.666,0.0,13.266,2019.0,0,231,64,False,True
63,5.8,7.466,0.0,13.266,2019.0,0,73,2,False,True
64,5.3,7.933,0.0,13.233,2019.0,0,43,50,False,True
64,5.3,7.933,0.0,13.233,2019.0,0,229,64,False,True
66,4.7,8.5,0.0,13.2,2019.0,0,259,44,False,True
67,4.9,8.3,0.0,13.2,2019.0,0,202,7,False,True
68,4.6,8.566,0.0,13.166,2019.0,0,277,51,False,True
69,4.8,8.366,0.0,13.166,2019.0,0,124,18,False,True
69,4.8,8.366,0.0,13.166,2019.0,0,184,37,False,True
71,5.0,8.166,0.0,13.166,2019.0,0,143,24,False,True
72,5.1,8.066,0.0,13.166,2019.0,0,56,54,False,True
73,4.9,8.258,0.0,13.158,2019.0,0,201,0,False,True
74,5.6,7.541,0.0,13.141,2019.0,0,125,8,False,True
75,4.8,8.333,0.0,13.133,2019.0,0,248,73,False,True
76,5.1,8.033,0.0,13.133,2019.0,0,242,76,False,True
77,4.6,8.5,0.0,13.1,2019.0,0,286,51,False,True
78,4.7,8.4,0.0,13.1,2019.0,0,156,76,False,True
79,4.8,8.3,0.0,13.1,2019.0,0,209,41,False,True
80,4.9,8.2,0.0,13.1,2019.0,0,182,26,False,True
81,5.0,8.1,0.0,13.1,2019.0,0,63,11,False,True
81,5.0,8.1,0.0,13.1,2019.0,0,196,18,False,True
81,5.0,8.1,0.0,13.1,2019.0,0,221,24,False,True
84,4.6,8.433,0.0,13.033,2019.0,0,111,76,False,True
85,4.8,8.2,0.0,13.0,2019.0,0,218,37,False,True
86,5.1,7.9,0.0,13.0,2019.0,0,302,59,False,True
87,4.8,8.166,0.0,12.966,2019.0,0,69,47,False,True
88,4.9,8.066,0.0,12.966,2019.0,0,251,38,False,True
89,4.6,8.333,0.0,12.933,2019.0,0,28,8,False,True
90,4.7,8.233,0.0,12.933,2019.0,0,103,9,False,True
91,5.3,7.633,0.0,12.933,2019.0,0,290,59,False,True
92,4.5,8.4,0.0,12.9,2019.0,0,170,31,False,True
93,4.7,8.2,0.0,12.9,2019.0,0,13,41,False,True
94,4.8,8.1,0.0,12.9,2019.0,0,7,24,False,True
95,5.2,7.7,0.0,12.9,2019.0,0,147,57,False,True
96,5.3,7.6,0.0,12.9,2019.0,0,205,4,False,True
97,4.3,8.566,0.0,12.866,2019.0,0,243,51,False,True
98,4.4,8.466,0.0,12.866,2019.0,0,162,73,False,True
99,4.6,8.266,0.0,12.866,2019.0,0,157,66,False,True
100,4.7,8.166,0.0,12.866,2019.0,0,225,28,False,True
101,4.6,8.2,0.0,12.8,2019.0,0,75,10,False,True
102,4.7,8.1,0.0,12.8,2019.0,0,117,76,False,True
103,4.9,7.891,0.0,12.791,2019.0,0,211,4,False,True
104,4.5,8.266,0.0,12.766,2019.0,0,40,32,False,True
104,4.5,8.266,0.0,12.766,2019.0,0,35,36,False,True
104,4.5,8.266,0.0,12.766,2019.0,0,19,36,False,True
107,4.6,8.166,0.0,12.766,2019.0,0,128,57,False,True
