Rank,Athlete,Nation,D,E,ND,Total,year,round
60,ivan stretovich,RUS,4.9,8.441,0.0,13.341,2019.0,qual
61,devy dyson,NZL,5.3,8.0,0.0,13.3,2019.0,qual
62,pablo brägger,SUI,4.6,8.666,0.0,13.266,2019.0,qual
63,daniel villafañe,ARG,5.8,7.466,0.0,13.266,2019.0,qual
64,bart deurloo,NED,5.3,7.933,0.0,13.233,2019.0,qual
64,oliver hegi,SUI,5.3,7.933,0.0,13.233,2019.0,qual
66,robert tvorogal,LTU,4.7,8.5,0.0,13.2,2019.0,qual
67,maxime gentges,BEL,4.9,8.3,0.0,13.2,2019.0,qual
68,sofus heggemsnes,NOR,4.6,8.566,0.0,13.166,2019.0,qual
69,ilias georgiou,CYP,4.8,8.366,0.0,13.166,2019.0,qual
69,ludovico edalli,ITA,4.8,8.366,0.0,13.166,2019.0,qual
71,joel plata,ESP,5.0,8.166,0.0,13.166,2019.0,qual
72,carlos edriel yulo,PHI,5.1,8.066,0.0,13.166,2019.0,qual
73,matvei petrov,ALB,4.9,8.258,0.0,13.158,2019.0,qual
74,ilya yakauleu,BLR,5.6,7.541,0.0,13.141,2019.0,qual
75,rasuljon abdurakhimov,UZB,4.8,8.333,0.0,13.133,2019.0,qual
76,philipp herder,none,5.1,8.033,0.0,13.133,2019.0,qual
77,theodor gadderud,NOR,4.6,8.5,0.0,13.1,2019.0,qual
78,karim rida,none,4.7,8.4,0.0,13.1,2019.0,qual
79,milad karimi,KAZ,4.8,8.3,0.0,13.1,2019.0,qual
80,loris frasca,FRA,4.9,8.2,0.0,13.1,2019.0,qual
81,cory paterson,CAN,5.0,8.1,0.0,13.1,2019.0,qual
81,marios georgiou,CYP,5.0,8.1,0.0,13.1,2019.0,qual
81,nicolau mir,ESP,5.0,8.1,0.0,13.1,2019.0,qual
84,giarnni regini-moran,none,4.6,8.433,0.0,13.033,2019.0,qual
85,niccolo mozzato,ITA,4.8,8.2,0.0,13.0,2019.0,qual
86,vlad cotuna,ROU,5.1,7.9,0.0,13.0,2019.0,qual
87,daniel corral,MEX,4.8,8.166,0.0,12.966,2019.0,qual
88,reiss beckford,JAM,4.9,8.066,0.0,12.966,2019.0,qual
89,andrey likhovitskiy,BLR,4.6,8.333,0.0,12.933,2019.0,qual
90,francisco barretto,BRA,4.7,8.233,0.0,12.933,2019.0,qual
91,toma modoianu-zseder,ROU,5.3,7.633,0.0,12.933,2019.0,qual
92,krisztofer meszaros,HUN,4.5,8.4,0.0,12.9,2019.0,qual
93,akim mussayev,KAZ,4.7,8.2,0.0,12.9,2019.0,qual
94,adria vera,ESP,4.8,8.1,0.0,12.9,2019.0,qual
95,jose lopez,PUR,5.2,7.7,0.0,12.9,2019.0,qual
96,michael tone,AUS,5.3,7.6,0.0,12.9,2019.0,qual
97,pietro giachino,NOR,4.3,8.566,0.0,12.866,2019.0,qual
98,khabibullo ergashev,UZB,4.4,8.466,0.0,12.866,2019.0,qual
99,karl idesjö,SWE,4.6,8.266,0.0,12.866,2019.0,qual
100,nikolaos iliopoulos,GRE,4.7,8.166,0.0,12.866,2019.0,qual
101,david huddleston,BUL,4.6,8.2,0.0,12.8,2019.0,qual
102,hsu ping chien,none,4.7,8.1,0.0,12.8,2019.0,qual
103,mitchell morgans,AUS,4.9,7.891,0.0,12.791,2019.0,qual
104,ashish kumar,IND,4.5,8.266,0.0,12.766,2019.0,qual
104,artem dolgopyat,ISR,4.5,8.266,0.0,12.766,2019.0,qual
104,alexander shatilov,ISR,4.5,8.266,0.0,12.766,2019.0,qual
107,isaac cotto,PUR,4.6,8.166,0.0,12.766,2019.0,qual
108,santiago mayol,ARG,4.8,7.966,0.0,12.766,2019.0,qual
109,aditya rana,IND,5.0,7.766,0.0,12.766,2019.0,qual
110,jackson payne,CAN,5.1,7.666,0.0,12.766,2019.0,qual
111,noah kuavita,BEL,4.6,8.133,0.0,12.733,2019.0,qual
111,yordan aleksandrov,BUL,4.6,8.133,0.0,12.733,2019.0,qual
111,bernardo almeida,POR,4.6,8.133,0.0,12.733,2019.0,qual
114,antoine borello,FRA,4.5,8.216,0.0,12.716,2019.0,qual
115,mikhail koudinov,NZL,4.5,8.2,0.0,12.7,2019.0,qual
115,vlada rakovic,SRB,4.5,8.2,0.0,12.7,2019.0,qual
