Rank,Athlete,Nation,D,E,ND,year,round,Total
65,ivan tikhonov,AZE,5.1,7.8,0.0,2018,qual,12.899999999999999
66,james hall,none,5.6,7.3,0.0,2018,qual,12.899999999999999
67,thierno diallo,ESP,4.8,8.066,0.0,2018,qual,12.866
68,jacob buus,DEN,4.9,7.966,0.0,2018,qual,12.866
69,ruben lopez,ESP,5.0,7.866,0.0,2018,qual,12.866
70,bram louwije,NED,5.1,7.766,0.0,2018,qual,12.866
70,karl idesjö,SWE,5.1,7.766,0.0,2018,qual,12.866
72,luka van den keybus,BEL,5.4,7.433,0.0,2018,qual,12.833
73,lee hyeok-jung,SKR,5.5,7.3,0.0,2018,qual,12.8
74,vinzenz höck,AUT,4.6,8.166,0.0,2018,qual,12.766
75,artem dolgopyat,ISR,4.9,7.866,0.0,2018,qual,12.766
76,philipp herder,none,5.2,7.566,0.0,2018,qual,12.766
77,petar vefic,SRB,4.3,8.433,0.0,2018,qual,12.733
78,antonios tantalidis,GRE,4.5,8.233,0.0,2018,qual,12.733
79,dominick cunningham,none,5.1,7.633,0.0,2018,qual,12.733
80,didier lugo,COL,6.0,6.733,0.0,2018,qual,12.733
81,loris frasca,FRA,5.1,7.6,0.0,2018,qual,12.7
81,hsu ping-chien,none,5.1,7.6,0.0,2018,qual,12.7
83,alexander shatilov,ISR,5.6,7.1,0.0,2018,qual,12.7
84,mitchell morgans,AUS,5.6,7.066,0.0,2018,qual,12.666
85,slavomir michnak,SVK,4.4,8.233,0.0,2018,qual,12.633000000000001
86,israel chiriboga,ECU,4.5,8.133,0.0,2018,qual,12.633
87,clay mason stephens,AUS,4.8,7.833,0.0,2018,qual,12.633
88,lee chih-kai,none,4.9,7.7,0.0,2018,qual,12.600000000000001
89,nikola jurkovic,SRB,5.0,7.6,0.0,2018,qual,12.6
90,matthias schwab,AUT,5.1,7.5,0.0,2018,qual,12.6
91,noah kuavita,BEL,5.7,6.9,0.0,2018,qual,12.600000000000001
92,georgios chatziefstathiou,GRE,4.3,8.266,0.0,2018,qual,12.565999999999999
93,daniel radovesnicky,CZE,4.9,7.666,0.0,2018,qual,12.566
94,franz card,FIN,4.5,8.033,0.0,2018,qual,12.533
95,mikhail koudinov,NZL,4.9,7.633,0.0,2018,qual,12.533000000000001
96,cristian bataga,ROU,5.1,7.433,0.0,2018,qual,12.533
97,marco sarrugerio,ITA,4.6,7.9,0.0,2018,qual,12.5
97,ahmed al dyani,QAT,4.6,7.9,0.0,2018,qual,12.5
99,bernardo almeida,POR,4.9,7.6,0.0,2018,qual,12.5
100,isaac nuñez,MEX,5.1,7.366,0.0,2018,qual,12.466
101,sofus heggemsnes,NOR,4.1,8.333,0.0,2018,qual,12.433
102,adam steele,IRL,4.5,7.933,0.0,2018,qual,12.433
103,yul moldauer,USA,5.0,7.433,0.0,2018,qual,12.433
104,pham phuoc hung,VIE,4.4,8.0,0.0,2018,qual,12.4
105,ferhat arican,TUR,5.2,7.2,0.0,2018,qual,12.4
106,ilyas azizov,KAZ,4.1,8.266,0.0,2018,qual,12.366
107,oleg verniaiev,UKR,4.9,7.466,0.0,2018,qual,12.366
