Rank,D,E,ND,Total,year,medal,Name,Nation,round_final,round_qual
88,4.3,7.1,0.0,11.4,2018,0,49,30,False,True
89,4.6,6.8,0.0,11.4,2018,0,88,8,False,True
90,4.1,7.266,0.0,11.366,2018,0,236,25,False,True
91,5.2,6.166,0.0,11.366,2018,0,258,11,False,True
92,5.5,5.866,0.0,11.366,2018,0,39,3,False,True
92,5.5,5.866,0.0,11.366,2018,0,180,46,False,True
94,5.8,5.566,0.0,11.366,2018,0,332,11,False,True
95,4.6,6.7,0.0,11.3,2018,0,267,44,False,True
96,5.1,6.2,0.0,11.3,2018,0,177,16,False,True
97,4.2,7.066,0.0,11.266,2018,0,241,65,False,True
98,4.3,6.966,0.0,11.266,2018,0,205,36,False,True
99,4.8,6.466,0.0,11.266,2018,0,262,78,False,True
100,5.2,6.066,0.0,11.266,2018,0,187,73,False,True
101,4.8,6.433,0.0,11.233,2018,0,190,78,False,True
102,5.4,5.833,0.0,11.233,2018,0,12,59,False,True
103,3.9,7.3,0.0,11.2,2018,0,282,5,False,True
104,5.1,6.1,0.0,11.2,2018,0,233,73,False,True
105,3.4,7.766,0.0,11.166,2018,0,72,19,False,True
106,4.3,6.866,0.0,11.166,2018,0,197,5,False,True
107,5.3,5.866,0.0,11.166,2018,0,54,9,False,True
108,5.5,5.666,0.0,11.166,2018,0,133,6,False,True
109,4.2,6.958,0.0,11.158,2018,0,310,5,False,True
110,4.5,6.633,0.0,11.133,2018,0,93,53,False,True
111,4.6,6.466,0.0,11.066,2018,0,278,2,False,True
112,5.2,5.866,0.0,11.066,2018,0,109,28,False,True
113,6.1,4.966,0.0,11.066,2018,0,259,33,False,True
114,4.8,6.2,0.0,11.0,2018,0,246,77,False,True
115,4.9,6.1,0.0,11.0,2018,0,4,30,False,True
116,5.5,5.5,0.0,11.0,2018,0,317,40,False,True
117,3.7,7.266,0.0,10.966,2018,0,320,68,False,True
118,4.9,6.066,0.0,10.966,2018,0,154,26,False,True
119,4.0,6.95,0.0,10.95,2018,0,291,19,False,True
120,4.6,6.3,0.0,10.9,2018,0,271,27,False,True
121,4.2,6.666,0.0,10.866,2018,0,84,53,False,True
122,4.7,6.133,0.0,10.833,2018,0,28,14,False,True
122,4.7,6.133,0.0,10.833,2018,0,285,57,False,True
124,4.2,6.6,0.0,10.8,2018,0,27,60,False,True
125,5.0,5.8,0.0,10.8,2018,0,169,27,False,True
126,5.5,5.3,0.0,10.8,2018,0,11,39,False,True
127,5.2,5.533,0.0,10.733,2018,0,33,28,False,True
128,4.8,5.9,0.0,10.7,2018,0,182,9,False,True
128,4.8,5.9,0.0,10.7,2018,0,302,44,False,True
130,5.0,5.7,0.0,10.7,2018,0,214,6,False,True
131,3.6,7.066,0.0,10.666,2018,0,63,4,False,True
132,2.8,7.833,0.0,10.633,2018,0,94,35,False,True
133,3.9,6.7,0.0,10.6,2018,0,209,53,False,True
134,4.2,6.4,0.0,10.6,2018,0,42,63,False,True
135,4.5,6.0,0.0,10.5,2018,0,46,57,False,True
136,3.6,6.791,0.0,10.391,2018,0,228,28,False,True
137,3.8,6.533,0.0,10.333,2018,0,191,37,False,True
138,4.6,5.733,0.0,10.333,2018,0,232,52,False,True
139,3.7,6.6,0.0,10.3,2018,0,225,24,False,True
140,4.1,6.166,0.0,10.266,2018,0,95,47,False,True
141,5.0,5.266,0.0,10.266,2018,0,86,27,False,True
142,4.1,6.133,0.0,10.233,2018,0,58,14,False,True
143,4.2,6.033,0.0,10.233,2018,0,104,50,False,True
144,4.4,5.833,0.0,10.233,2018,0,243,57,False,True
145,5.4,4.833,0.0,10.233,2018,0,253,8,False,True
146,4.4,5.8,0.0,10.2,2018,0,322,8,False,True
147,5.3,4.866,0.0,10.166,2018,0,268,44,False,True
148,4.5,5.6,0.0,10.1,2018,0,181,26,False,True
149,4.8,5.3,0.0,10.1,2018,0,269,24,False,True
150,4.7,5.366,0.0,10.066,2018,0,22,36,False,True
151,3.9,6.133,0.0,10.033,2018,0,311,27,False,True
152,4.7,5.333,0.0,10.033,2018,0,97,5,False,True
153,4.0,6.0,0.0,10.0,2018,0,230,7,False,True
154,4.2,5.8,0.0,10.0,2018,0,175,63,False,True
155,4.7,5.3,0.0,10.0,2018,0,277,11,False,True
156,3.7,6.266,0.0,9.966,2018,0,215,72,False,True
157,4.1,5.866,0.0,9.966,2018,0,288,38,False,True
158,5.4,4.566,0.0,9.966,2018,0,207,18,False,True
159,4.2,5.733,0.0,9.933,2018,0,245,77,False,True
160,3.8,6.1,0.0,9.9,2018,0,323,34,False,True
161,3.9,6.0,0.0,9.9,2018,0,165,68,False,True
162,3.4,6.491,0.0,9.891,2018,0,219,18,False,True
163,3.1,6.766,0.0,9.866,2018,0,229,28,False,True
164,4.8,5.066,0.0,9.866,2018,0,2,34,False,True
165,4.7,5.133,0.0,9.833,2018,0,92,14,False,True
166,3.8,5.966,0.0,9.766,2018,0,280,4,False,True
167,4.4,5.366,0.0,9.766,2018,0,211,65,False,True
168,3.1,6.633,0.0,9.733,2018,0,144,35,False,True
169,3.3,6.4,0.0,9.7,2018,0,171,77,False,True
170,3.8,5.9,0.0,9.7,2018,0,261,78,False,True
171,4.5,5.2,0.0,9.7,2018,0,163,76,False,True
172,3.8,5.866,0.0,9.666,2018,0,318,62,False,True
173,3.7,5.9,0.0,9.6,2018,0,329,78,False,True
174,4.6,5.0,0.0,9.6,2018,0,242,65,False,True
175,4.2,5.266,0.0,9.466,2018,0,150,14,False,True
176,3.1,6.2,0.0,9.3,2018,0,153,2,False,True
177,4.4,4.9,0.0,9.3,2018,0,309,3,False,True
178,4.4,4.866,0.0,9.266,2018,0,184,7,False,True
179,4.3,4.933,0.0,9.233,2018,0,114,78,False,True
180,4.4,4.833,0.0,9.233,2018,0,34,54,False,True
181,4.3,4.6,0.0,8.9,2018,0,257,38,False,True
182,3.9,4.966,0.0,8.866,2018,0,274,39,False,True
183,4.0,4.766,0.0,8.766,2018,0,55,38,False,True
184,3.8,4.5,0.0,8.3,2018,0,324,69,False,True
185,4.2,4.033,0.0,8.233,2018,0,6,60,False,True
186,3.4,4.766,0.0,8.166,2018,0,103,47,False,True
187,4.5,3.666,0.0,8.166,2018,0,66,11,False,True
188,3.8,4.333,0.0,8.133,2018,0,304,4,False,True
189,3.7,3.833,0.0,7.533,2018,0,17,76,False,True
190,3.0,3.8,0.0,6.8,2018,0,13,59,False,True
191,3.2,3.533,0.0,6.733,2018,0,254,17,False,True
192,3.7,2.966,0.0,6.666,2018,0,131,21,False,True
193,3.3,3.333,0.0,6.633,2018,0,252,60,False,True
194,2.9,2.6,0.0,5.5,2018,0,299,6,False,True
195,2.8,6.4,-4.0,5.2,2018,0,306,72,False,True
196,2.9,5.8,-4.0,4.7,2018,0,74,2,False,True
197,2.0,6.5,-4.0,4.5,2018,0,223,2,False,True
198,3.2,4.9,-4.0,4.1,2018,0,138,70,False,True
199,3.4,4.366,-4.0,3.766,2018,0,70,54,False,True
200,3.3,4.366,-4.0,3.666,2018,0,129,47,False,True
201,2.9,4.566,-4.0,3.466,2018,0,239,47,False,True
202,2.2,4.7,-4.0,2.9,2018,0,99,68,False,True
1,7.0,8.5,0.0,15.5,2019,1,200,78,True,False
2,6.5,8.933,0.0,15.433,2019,0,172,78,True,False
3,6.4,9.0,0.0,15.4,2019,0,259,33,True,False
4,6.3,8.7,0.0,15.0,2019,0,333,13,True,False
5,6.6,8.266,0.0,14.866,2019,1,159,40,True,False
6,6.3,8.533,0.0,14.833,2019,0,68,26,True,False
7,6.0,8.733,0.0,14.733,2019,0,284,78,True,False
8,6.4,7.166,0.0,13.566,2019,0,77,61,True,False
9,5.9,7.433,0.0,13.333,2019,0,69,40,True,False
1,6.9,8.366,0.0,15.266,2019,1,200,78,False,True
2,6.3,8.9,0.0,15.2,2019,0,259,33,False,True
3,6.2,8.766,0.0,14.966,2019,0,172,78,False,True
4,6.0,8.958,0.0,14.958,2019,0,333,13,False,True
5,6.0,8.883,0.0,14.883,2019,0,69,40,False,True
6,6.0,8.683,0.0,14.683,2019,0,284,78,False,True
7,6.3,8.366,0.0,14.666,2019,0,68,26,False,True
8,6.4,8.233,0.0,14.633,2019,1,159,40,False,True
8,6.4,8.233,0.0,14.633,2019,0,77,61,False,True
10,6.5,8.1,0.0,14.6,2019,0,233,73,False,True
11,6.3,8.1,0.0,14.4,2019,0,156,40,False,True
12,5.9,8.4,0.0,14.3,2019,0,218,41,False,True
13,5.8,8.333,0.0,14.133,2019,0,116,3,False,True
14,6.1,8.033,0.0,14.133,2019,0,16,41,False,True
15,6.3,7.8,0.0,14.1,2019,0,192,18,False,True
16,6.2,7.833,0.0,14.033,2019,0,226,61,False,True
17,6.2,7.8,0.0,14.0,2019,0,1,76,False,True
18,5.8,8.166,0.0,13.966,2019,0,71,47,False,True
19,5.6,8.333,0.0,13.933,2019,0,36,36,False,True
20,5.6,8.233,0.0,13.833,2019,0,98,72,False,True
21,5.6,8.133,0.0,13.733,2019,0,102,9,False,True
22,5.9,7.833,0.0,13.733,2019,0,132,61,False,True
23,6.2,7.5,0.0,13.7,2019,0,244,73,False,True
24,5.6,8.033,0.0,13.633,2019,0,45,66,False,True
25,5.7,7.866,0.0,13.566,2019,0,183,37,False,True
25,5.7,7.866,0.0,13.566,2019,0,26,78,False,True
27,6.0,7.566,0.0,13.566,2019,0,176,63,False,True
28,5.1,8.433,0.0,13.533,2019,0,79,19,False,True
29,5.2,8.333,0.0,13.533,2019,0,181,26,False,True
30,5.2,8.333,0.0,13.533,2019,0,326,73,False,True
31,5.7,7.833,0.0,13.533,2019,0,15,75,False,True
32,5.9,7.6,0.0,13.5,2019,0,141,78,False,True
33,5.4,8.066,0.0,13.466,2019,0,39,3,False,True
34,5.3,8.133,0.0,13.433,2019,0,81,30,False,True
35,4.9,8.5,0.0,13.4,2019,0,32,26,False,True
36,6.0,7.4,0.0,13.4,2019,0,321,13,False,True
37,5.6,7.766,0.0,13.366,2019,0,38,61,False,True
38,5.7,7.633,0.0,13.333,2019,0,317,40,False,True
39,5.1,8.2,0.0,13.3,2019,0,22,36,False,True
40,5.2,8.066,0.0,13.266,2019,0,237,66,False,True
41,4.9,8.333,0.0,13.233,2019,0,78,10,False,True
42,5.0,8.2,0.0,13.2,2019,0,140,7,False,True
43,5.2,7.966,0.0,13.166,2019,0,316,73,False,True
44,5.6,7.566,0.0,13.166,2019,0,43,50,False,True
45,5.1,8.033,0.0,13.133,2019,0,12,59,False,True
46,5.3,7.8,0.0,13.1,2019,0,57,37,False,True
47,6.5,6.6,0.0,13.1,2019,0,204,38,False,True
48,4.7,8.366,0.0,13.066,2019,0,170,30,False,True
49,5.3,7.733,0.0,13.033,2019,0,54,9,False,True
49,5.3,7.733,0.0,13.033,2019,0,9,24,False,True
51,5.8,7.233,0.0,13.033,2019,0,206,4,False,True
51,5.8,7.233,0.0,13.033,2019,0,133,6,False,True
53,5.0,8.0,0.0,13.0,2019,0,220,24,False,True
54,4.9,8.066,0.0,12.966,2019,0,90,25,False,True
55,5.4,7.566,0.0,12.966,2019,0,278,2,False,True
55,5.4,7.566,0.0,12.966,2019,0,238,63,False,True
57,5.5,7.466,0.0,12.966,2019,0,157,78,False,True
58,4.6,8.333,0.0,12.933,2019,0,85,77,False,True
59,4.9,8.033,0.0,12.933,2019,0,5,33,False,True
60,5.1,7.8,0.0,12.9,2019,0,270,30,False,True
61,5.2,7.7,0.0,12.9,2019,0,60,50,False,True
62,5.6,7.3,0.0,12.9,2019,0,290,13,False,True
63,4.2,8.666,0.0,12.866,2019,0,208,50,False,True
64,4.9,7.966,0.0,12.866,2019,0,267,44,False,True
65,5.1,7.766,0.0,12.866,2019,0,283,75,False,True
66,5.4,7.466,0.0,12.866,2019,0,199,16,False,True
67,5.5,7.366,0.0,12.866,2019,0,296,24,False,True
68,4.5,8.3,0.0,12.8,2019,0,188,17,False,True
69,4.8,8.0,0.0,12.8,2019,0,175,63,False,True
70,5.0,7.8,0.0,12.8,2019,0,118,1,False,True
71,5.1,7.7,0.0,12.8,2019,0,155,26,False,True
72,4.4,8.333,0.0,12.733,2019,0,58,14,False,True
73,4.6,8.133,0.0,12.733,2019,0,80,68,False,True
74,5.6,7.133,0.0,12.733,2019,0,61,66,False,True
75,4.7,8.0,0.0,12.7,2019,0,327,31,False,True
76,5.2,7.5,0.0,12.7,2019,0,164,63,False,True
77,5.5,7.2,0.0,12.7,2019,0,31,8,False,True
78,4.5,8.166,0.0,12.666,2019,0,28,14,False,True
79,5.0,7.666,0.0,12.666,2019,0,41,20,False,True
80,5.1,7.566,0.0,12.666,2019,0,182,9,False,True
80,5.1,7.566,0.0,12.666,2019,0,162,76,False,True
82,5.6,7.066,0.0,12.666,2019,0,330,75,False,True
83,5.1,7.533,0.0,12.633,2019,0,104,50,False,True
84,5.3,7.3,0.0,12.6,2019,0,127,58,False,True
85,5.5,7.1,0.0,12.6,2019,0,276,75,False,True
86,5.3,7.266,0.0,12.566,2019,0,235,66,False,True
87,5.4,7.166,0.0,12.566,2019,0,125,41,False,True
87,5.4,7.166,0.0,12.566,2019,0,243,57,False,True
89,5.1,7.4,0.0,12.5,2019,0,143,24,False,True
90,4.6,7.866,0.0,12.466,2019,0,310,5,False,True
91,4.8,7.666,0.0,12.466,2019,0,37,9,False,True
92,4.9,7.566,0.0,12.466,2019,0,59,55,False,True
93,5.2,7.266,0.0,12.466,2019,0,7,78,False,True
94,5.4,7.066,0.0,12.466,2019,0,248,52,False,True
95,5.8,6.666,0.0,12.466,2019,0,180,46,False,True
96,5.1,7.333,0.0,12.433,2019,0,322,8,False,True
97,4.2,8.166,0.0,12.366,2019,0,82,56,False,True
98,5.5,6.866,0.0,12.366,2019,0,83,13,False,True
99,5.6,6.766,0.0,12.366,2019,0,286,67,False,True
100,4.4,7.933,0.0,12.333,2019,0,209,53,False,True
101,4.8,7.533,0.0,12.333,2019,0,277,11,False,True
102,5.0,7.266,0.0,12.266,2019,0,185,78,False,True
102,5.0,7.266,0.0,12.266,2019,0,305,51,False,True
104,4.9,7.333,0.0,12.233,2019,0,66,11,False,True
104,4.9,7.333,0.0,12.233,2019,0,213,22,False,True
106,5.3,6.933,0.0,12.233,2019,0,258,11,False,True
107,4.8,7.4,0.0,12.2,2019,0,131,21,False,True
108,5.0,7.2,0.0,12.2,2019,0,287,52,False,True
109,4.9,7.266,0.0,12.166,2019,0,128,47,False,True
110,5.4,6.7,0.0,12.1,2019,0,198,0,False,True
110,5.4,6.7,0.0,12.1,2019,0,119,78,False,True
112,4.6,7.466,0.0,12.066,2019,0,19,8,False,True
113,5.7,6.366,0.0,12.066,2019,0,201,7,False,True
114,4.6,7.433,0.0,12.033,2019,0,260,78,False,True
115,4.7,7.333,0.0,12.033,2019,0,295,52,False,True
116,4.9,7.133,0.0,12.033,2019,0,29,58,False,True
117,5.1,6.933,0.0,12.033,2019,0,279,64,False,True
118,4.9,7.1,0.0,12.0,2019,0,255,76,False,True
119,5.6,6.4,0.0,12.0,2019,0,137,78,False,True
120,4.7,7.266,0.0,11.966,2019,0,48,65,False,True
121,4.7,7.233,0.0,11.933,2019,0,264,25,False,True
122,6.3,5.583,0.0,11.833,2019,0,273,32,False,True
123,5.0,6.866,0.0,11.866,2019,0,111,78,False,True
124,4.6,7.233,0.0,11.833,2019,0,136,4,False,True
125,4.3,7.5,0.0,11.8,2019,0,210,41,False,True
126,4.7,7.1,0.0,11.8,2019,0,228,28,False,True
127,5.0,6.8,0.0,11.8,2019,0,247,78,False,True
128,5.2,6.6,0.0,11.8,2019,0,139,54,False,True
129,3.8,7.966,0.0,11.766,2019,0,307,35,False,True
130,4.2,7.566,0.0,11.766,2019,0,293,78,False,True
131,5.1,6.6,0.0,11.7,2019,0,221,37,False,True
131,5.1,6.6,0.0,11.7,2019,0,189,14,False,True
133,3.8,7.866,0.0,11.666,2019,0,215,72,False,True
134,4.7,6.966,0.0,11.666,2019,0,301,12,False,True
135,3.9,7.733,0.0,11.633,2019,0,171,77,False,True
136,4.1,7.5,0.0,11.6,2019,0,89,25,False,True
137,4.3,7.266,0.0,11.566,2019,0,328,10,False,True
138,5.1,6.466,0.0,11.566,2019,0,236,25,False,True
139,3.9,7.633,0.0,11.533,2019,0,331,72,False,True
140,4.1,7.433,0.0,11.533,2019,0,100,56,False,True
141,4.4,7.133,0.0,11.533,2019,0,186,56,False,True
142,4.4,7.1,0.0,11.5,2019,0,20,5,False,True
143,4.9,6.6,0.0,11.5,2019,0,263,43,False,True
144,4.9,6.6,0.0,11.5,2019,0,314,43,False,True
145,5.0,6.433,0.0,11.433,2019,0,184,7,False,True
146,3.9,7.5,0.0,11.4,2019,0,256,60,False,True
147,5.1,6.3,0.0,11.4,2019,0,222,37,False,True
148,4.0,7.366,0.0,11.366,2019,0,165,68,False,True
149,4.1,7.233,0.0,11.333,2019,0,212,4,False,True
150,4.2,7.133,0.0,11.333,2019,0,266,16,False,True
151,3.3,7.9,0.0,11.2,2019,0,161,49,False,True
152,3.8,7.366,0.0,11.166,2019,0,148,71,False,True
153,4.0,7.166,0.0,11.166,2019,0,30,15,False,True
154,4.2,6.966,0.0,11.166,2019,0,84,53,False,True
155,5.0,6.133,0.0,11.133,2019,0,214,6,False,True
156,4.3,6.7,0.0,11.0,2019,0,75,2,False,True
157,4.8,6.2,0.0,11.0,2019,0,47,27,False,True
158,3.8,7.175,0.0,10.975,2019,0,294,15,False,True
159,4.7,6.266,0.0,10.966,2019,0,88,8,False,True
160,4.3,6.633,0.0,10.933,2019,0,230,7,False,True
160,4.3,6.633,0.0,10.933,2019,0,302,44,False,True
162,4.8,6.1,0.0,10.9,2019,0,138,70,False,True
162,4.8,6.1,0.0,10.9,2019,0,14,72,False,True
164,4.4,6.466,0.0,10.866,2019,0,257,38,False,True
165,5.0,5.841,0.0,10.841,2019,0,251,17,False,True
166,4.1,6.733,0.0,10.833,2019,0,95,47,False,True
167,4.5,6.133,0.0,10.633,2019,0,27,60,False,True
168,4.9,5.733,0.0,10.633,2019,0,44,30,False,True
169,5.6,5.033,0.0,10.633,2019,0,134,11,False,True
