Rank,Athlete,Nation,D,E,ND,Total,year,round
149,ruben lopez,ESP,4.8,5.3,0.0,10.1,2018,qual
150,alexander shatilov,ISR,4.7,5.366,0.0,10.066,2018,qual
151,vitalii arseniev,GEO,3.9,6.133,0.0,10.033,2018,qual
152,fabio sereinig,AUT,4.7,5.333,0.0,10.033,2018,qual
153,noah kuavita,BEL,4.0,6.0,0.0,10.0,2018,qual
154,lee jun-ho,SKR,4.2,5.8,0.0,10.0,2018,qual
155,samuel zakutney,CAN,4.7,5.3,0.0,10.0,2018,qual
156,mustafa arca,TUR,3.7,6.266,0.0,9.966,2018,qual
157,stephen lewis,JAM,4.1,5.866,0.0,9.966,2018,qual
158,michalis krasias,CYP,5.4,4.566,0.0,9.966,2018,qual
159,pham phuoc hung,VIE,4.2,5.733,0.0,9.933,2018,qual
160,yasir al dulaimi,IRQ,3.8,6.1,0.0,9.9,2018,qual
161,kim vanström,SWE,3.9,6.0,0.0,9.9,2018,qual
162,neofytos kyriakou,CYP,3.4,6.491,0.0,9.891,2018,qual
163,nikolaos kranitis,GRE,3.1,6.766,0.0,9.866,2018,qual
164,abdullah al dulaimi,IRQ,4.8,5.066,0.0,9.866,2018,qual
165,erick vargas,COL,4.7,5.133,0.0,9.833,2018,qual
166,scott costin,AUS,3.8,5.966,0.0,9.766,2018,qual
167,milos paunovic,SRB,4.4,5.366,0.0,9.766,2018,qual
168,jon gunnarsson,ISL,3.1,6.633,0.0,9.733,2018,qual
169,le thanh tung,VIE,3.3,6.4,0.0,9.7,2018,qual
170,ri wi chol,none,3.8,5.9,0.0,9.7,2018,qual
171,khusniddin abdusamatov,UZB,4.5,5.2,0.0,9.7,2018,qual
172,wei an terry tay,SIN,3.8,5.866,0.0,9.666,2018,qual
173,yu chao-wei,none,3.7,5.9,0.0,9.6,2018,qual
174,petar velickovic,SRB,4.6,5.0,0.0,9.6,2018,qual
175,jossimar calvo,COL,4.2,5.266,0.0,9.466,2018,qual
176,julian jato,ARG,3.1,6.2,0.0,9.3,2018,qual
177,vigen khachatryan,ARM,4.4,4.9,0.0,9.3,2018,qual
178,luka van den keybus,BEL,4.4,4.866,0.0,9.266,2018,qual
179,han jong hyok,none,4.3,4.933,0.0,9.233,2018,qual
180,arian leon,PER,4.4,4.833,0.0,9.233,2018,qual
181,reiss beckford,JAM,4.3,4.6,0.0,8.9,2018,qual
182,saleem naghouj,JOR,3.9,4.966,0.0,8.866,2018,qual
183,caleb faulk,JAM,4.0,4.766,0.0,8.766,2018,qual
184,yazan al souliman,SYR,3.8,4.5,0.0,8.3,2018,qual
185,adelin kotrong,ROU,4.2,4.033,0.0,8.233,2018,qual
186,francisco rojo,MEX,3.4,4.766,0.0,8.166,2018,qual
187,cory paterson,CAN,4.5,3.666,0.0,8.166,2018,qual
188,tyson bull,AUS,3.8,4.333,0.0,8.133,2018,qual
189,akobir khamrokulov,UZB,3.7,3.833,0.0,7.533,2018,qual
190,ahmed mosa,QAT,3.0,3.8,0.0,6.8,2018,qual
191,randy leru,CUB,3.2,3.533,0.0,6.733,2018,qual
192,israel chiriboga,ECU,3.7,2.966,0.0,6.666,2018,qual
193,rafael szabo,ROU,3.3,3.333,0.0,6.633,2018,qual
194,timur bairamov,AZE,2.9,2.6,0.0,5.5,2018,qual
195,umit samiloglu,TUR,2.8,6.4,-4.0,5.2,2018,qual
196,daniel villafane,ARG,2.9,5.8,-4.0,4.7,2018,qual
197,nicolas cordoba,ARG,2.0,6.5,-4.0,4.5,2018,qual
198,jamorn prommanee,THA,3.2,4.9,-4.0,4.1,2018,qual
199,daniel aguero,PER,3.4,4.366,-4.0,3.766,2018,qual
200,isaac nuñez,MEX,3.3,4.366,-4.0,3.666,2018,qual
201,patricio razo,MEX,2.9,4.566,-4.0,3.466,2018,qual
202,filip lidbeck,SWE,2.2,4.7,-4.0,2.9,2018,qual
1,max whitlock,none,7.0,8.5,0.0,15.5,2019,final
2,lee chih kai,none,6.5,8.933,0.0,15.433,2019,final
3,rhys mcclenaghan,IRL,6.4,9.0,0.0,15.4,2019,final
4,zou jingyuan,CHN,6.3,8.7,0.0,15.0,2019,final
5,kazuma kaya,JPN,6.6,8.266,0.0,14.866,2019,final
6,cyril tommasone,FRA,6.3,8.533,0.0,14.833,2019,final
7,shiao yu-jan,none,6.0,8.733,0.0,14.733,2019,final
8,david belyavskiy,RUS,6.4,7.166,0.0,13.566,2019,final
9,daiki hashimoto,JPN,5.9,7.433,0.0,13.333,2019,final
1,max whitlock,none,6.9,8.366,0.0,15.266,2019,qual
2,rhys mcclenaghan,IRL,6.3,8.9,0.0,15.2,2019,qual
3,lee chih kai,none,6.2,8.766,0.0,14.966,2019,qual
4,zou jingyuan,CHN,6.0,8.958,0.0,14.958,2019,qual
5,daiki hashimoto,JPN,6.0,8.883,0.0,14.883,2019,qual
6,shiao yu-jan,none,6.0,8.683,0.0,14.683,2019,qual
7,cyril tommasone,FRA,6.3,8.366,0.0,14.666,2019,qual
8,kazuma kaya,JPN,6.4,8.233,0.0,14.633,2019,qual
8,david belyavskiy,RUS,6.4,8.233,0.0,14.633,2019,qual
10,oleg verniaiev,UKR,6.5,8.1,0.0,14.6,2019,qual
11,kakeru tanigawa,JPN,6.3,8.1,0.0,14.4,2019,qual
12,nariman kurbanov,KAZ,5.9,8.4,0.0,14.3,2019,qual
13,harutyun merdinyan,ARM,5.8,8.333,0.0,14.133,2019,qual
14,akim mussayev,KAZ,6.1,8.033,0.0,14.133,2019,qual
15,marios georgiou,CYP,6.3,7.8,0.0,14.1,2019,qual
16,nikita nagornyy,RUS,6.2,7.833,0.0,14.033,2019,qual
17,abdulla azimov,UZB,6.2,7.8,0.0,14.0,2019,qual
18,daniel corral,MEX,5.8,8.166,0.0,13.966,2019,qual
19,artem dolgopyat,ISR,5.6,8.333,0.0,13.933,2019,qual
20,ferhat arican,TUR,5.6,8.233,0.0,13.833,2019,qual
21,francisco barretto,BRA,5.6,8.133,0.0,13.733,2019,qual
