Rank,Athlete,Nation,D,E,ND,year,round,Total
100,james bacueti,AUS,5.6,7.7,0.0,2019,qual,13.3
101,santiago mayol,ARG,5.7,7.6,0.0,2019,qual,13.3
102,andrey likhovitskiy,BLR,4.8,8.466,0.0,2019,qual,13.265999999999998
103,david jessen,CZE,5.1,8.166,0.0,2019,qual,13.266
104,pietro giachino,NOR,5.2,8.066,0.0,2019,qual,13.266000000000002
105,frantisek cerny,CZE,5.5,7.766,0.0,2019,qual,13.266
106,michel bletterman,NED,4.9,8.333,0.0,2019,qual,13.233
107,christian riisberg,DEN,5.3,8.033,-0.1,2019,qual,13.432999999999998
108,luka terbovsek,SLO,5.7,7.533,0.0,2019,qual,13.233
109,dawid weglarz,POL,5.3,7.9,0.0,2019,qual,13.2
110,victor rostagno,URU,5.4,7.8,0.0,2019,qual,13.2
111,thierno diallo,ESP,5.7,7.566,-0.1,2019,qual,13.366
112,ri wi chol,none,5.6,7.566,0.0,2019,qual,13.166
113,khabibullo ergashev,UZB,5.0,8.133,0.0,2019,qual,13.133
114,andres perez,PUR,5.2,7.933,0.0,2019,qual,13.133
115,matthias schwab,AUT,5.4,7.733,0.0,2019,qual,13.133
116,alexander benda,AUT,5.5,7.6,0.0,2019,qual,13.1
117,bernardo almeida,POR,5.1,7.966,0.0,2019,qual,13.065999999999999
118,krisztofer meszaros,HUN,5.2,7.866,0.0,2019,qual,13.065999999999999
119,elias koski,FIN,5.3,7.766,0.0,2019,qual,13.065999999999999
120,yunus gündogdu,TUR,5.4,7.666,0.0,2019,qual,13.066
121,tomas kuzmickas,LTU,5.0,8.033,0.0,2019,qual,13.033
122,murad agharzayev,AZE,5.7,7.533,-0.2,2019,qual,13.433
123,vinzenz höck,AUT,4.8,8.2,0.0,2019,qual,13.0
124,bojan dejanovic,SRB,4.9,8.1,0.0,2019,qual,13.0
125,aditya rana,IND,5.0,8.0,0.0,2019,qual,13.0
125,petar vefic,SRB,5.0,8.0,0.0,2019,qual,13.0
127,razvan-denis marc,ROU,5.2,7.9,-0.1,2019,qual,13.200000000000001
128,lucas bitencourt,BRA,5.5,7.8,-0.3,2019,qual,13.600000000000001
129,oleg verniaiev,UKR,5.7,7.7,-0.4,2019,qual,13.8
130,daniel radovesnicky,CZE,4.9,8.066,0.0,2019,qual,12.966000000000001
131,noah kuavita,BEL,5.3,7.866,-0.2,2019,qual,13.366
132,vitalijs kardasovs,LAT,5.2,7.766,0.0,2019,qual,12.966000000000001
133,reiss beckford,JAM,5.4,7.633,-0.1,2019,qual,13.133000000000001
134,mohamed abdeldjalil bourguieg,ALG,4.9,8.0,0.0,2019,qual,12.9
135,rihards trams,LAT,4.8,8.066,0.0,2019,qual,12.866
136,joel alvarez,CHI,4.9,7.966,0.0,2019,qual,12.866
136,yogeshwar singh,IND,4.9,7.966,0.0,2019,qual,12.866
138,audrys nin reyes,DOM,5.6,7.266,0.0,2019,qual,12.866
139,olegs ivanovs,LAT,4.9,8.033,-0.1,2019,qual,13.033
140,lukasz borkowski,POL,4.9,7.933,0.0,2019,qual,12.833
141,cory paterson,CAN,5.3,7.5,0.0,2019,qual,12.8
142,arian leon prado,PER,4.4,8.366,0.0,2019,qual,12.766
143,jamorn prommanee,THA,5.1,7.6,0.0,2019,qual,12.7
144,bidzina sitchinava,GEO,5.4,7.4,-0.1,2019,qual,12.9
145,michael tone,AUS,4.5,8.166,0.0,2019,qual,12.666
146,enkhtulga altansukh,MGL,4.8,7.866,0.0,2019,qual,12.666
147,israel chiriboga,ECU,5.3,7.433,-0.1,2019,qual,12.833
148,jesus moreto,PER,4.5,8.1,0.0,2019,qual,12.6
149,mikhail koudinov,NZL,4.7,7.9,0.0,2019,qual,12.600000000000001
150,adickxon trejo,VEN,5.0,7.666,-0.1,2019,qual,12.766
151,kakeru tanigawa,JPN,6.2,6.966,-0.6,2019,qual,13.766
152,frank rijken,NED,4.5,8.433,-0.4,2019,qual,13.333
153,mohamed afify,EGY,4.3,8.233,0.0,2019,qual,12.533000000000001
154,benedek tomcsanyi,HUN,5.4,7.133,0.0,2019,qual,12.533000000000001
155,gabriel swan,AUS,6.2,6.333,0.0,2019,qual,12.533000000000001
156,hsu ping chien,none,4.3,8.2,0.0,2019,qual,12.5
157,nikolaos iliopoulos,GRE,4.8,7.7,0.0,2019,qual,12.5
158,soma laszlo csorvasi,HUN,5.1,7.933,-0.6,2019,qual,13.633
159,dinh phuong thanh,VIE,5.1,7.333,0.0,2019,qual,12.433
160,yahor sharamkou,BLR,6.0,6.733,-0.3,2019,qual,13.033000000000001
161,vlada rakovic,SRB,3.7,8.7,0.0,2019,qual,12.399999999999999
162,devy dyson,NZL,4.7,7.9,-0.2,2019,qual,12.8
163,fabian de luna,MEX,4.9,7.5,0.0,2019,qual,12.4
164,hillal metidji,ALG,4.3,8.066,0.0,2019,qual,12.366
165,ilya yakauleu,BLR,5.3,7.566,-0.5,2019,qual,13.366
166,ahmed al dyani,QAT,4.9,7.466,0.0,2019,qual,12.366
167,marios georgiou,CYP,5.1,7.333,-0.1,2019,qual,12.533
168,daniel villafañe,ARG,5.2,7.4,-0.3,2019,qual,12.900000000000002
169,saleem naghouj,JOR,4.5,7.766,0.0,2019,qual,12.266
169,petrix barbosa,POR,4.5,7.766,0.0,2019,qual,12.266
171,mustafa arca,TUR,5.5,6.966,-0.2,2019,qual,12.666
172,rafael rosendi,CUB,5.3,6.966,0.0,2019,qual,12.266
173,andres valverde,CRC,4.0,8.233,0.0,2019,qual,12.233
174,isaac cotto,PUR,4.7,7.366,0.0,2019,qual,12.065999999999999
175,filip sasnal,POL,4.8,7.6,-0.4,2019,qual,12.799999999999999
176,carlos calvo,COL,5.3,6.7,0.0,2019,qual,12.0
177,ilyas azizov,KAZ,5.7,6.5,-0.2,2019,qual,12.399999999999999
178,ryan sheppard,HUN,5.5,6.533,-0.1,2019,qual,12.133000000000001
179,joseph fox,TRI,3.8,8.366,-0.3,2019,qual,12.466000000000001
180,tarik soto,CRC,4.4,7.766,-0.3,2019,qual,12.466000000000001
181,andrei muntean,ROU,5.7,6.533,-0.4,2019,qual,12.633000000000001
182,loo phay xing,MAS,5.5,6.333,0.0,2019,qual,11.833
183,ali al jafar,KUW,3.8,7.966,0.0,2019,qual,11.766
184,nabil zouhair,MAR,4.9,6.866,0.0,2019,qual,11.766
185,ilias georgiou,CYP,4.8,6.9,0.0,2019,qual,11.7
186,martin gudmundsson,ISL,4.4,7.266,0.0,2019,qual,11.666
187,kevin crovetto,MON,4.5,7.233,-0.1,2019,qual,11.833
188,jorge vega,GUA,5.4,6.5,-0.3,2019,qual,12.200000000000001
189,samuel mikulak,USA,5.4,6.133,0.0,2019,qual,11.533000000000001
190,matvei petrov,ALB,4.4,7.333,-0.3,2019,qual,12.033000000000001
191,samir aït saïd,FRA,5.1,6.566,-0.3,2019,qual,11.966000000000001
192,slavomir michnak,SVK,5.1,6.3,-0.1,2019,qual,11.499999999999998
193,sabah al subaiei,KUW,3.8,7.433,0.0,2019,qual,11.233
194,mohamed aziz trabelsi,TUN,5.3,6.4,-0.6,2019,qual,12.299999999999999
195,yazan al souliman,SYR,4.8,6.6,-0.4,2019,qual,11.799999999999999
196,manuel martinez,COL,4.5,6.466,0.0,2019,qual,10.966000000000001
197,fabio chicas,ESA,3.2,7.633,0.0,2019,qual,10.833
198,toma modoianu-zseder,ROU,5.0,6.333,-0.7,2019,qual,12.033
199,gerardo cabrera,URU,5.1,5.533,0.0,2019,qual,10.633
200,jose lopez,PUR,4.8,6.266,-0.7,2019,qual,11.765999999999998
201,abellino rubio,GUA,4.0,6.633,-0.4,2019,qual,11.033
202,meshari al deriwish,KUW,3.2,6.5,0.0,2019,qual,9.7
203,andrey medvedev,ISR,2.9,7.333,-0.8,2019,qual,11.033000000000001
204,prosper okosun,NGR,3.6,6.133,-0.3,2019,qual,10.033000000000001
205,nahel clement bouanane,MAR,4.6,5.5,-1.1,2019,qual,11.2
1,gage dyer,USA,6.0,8.4,0.0,2020,final,14.4
1,gage dyer,USA,6.0,8.65,0.0,2020,final,14.65
2,sam mikulak,USA,5.9,8.7,0.0,2020,final,14.6
2,sam mikulak,USA,6.2,8.3,-0.3,2020,final,14.2
3,cameron bock,USA,5.5,8.85,0.0,2020,final,14.35
3,cameron bock,USA,5.5,8.65,0.0,2020,final,14.15
4,adrian de los angeles,USA,5.6,8.45,0.0,2020,final,14.05
4,adrian de los angeles,USA,5.6,8.6,0.0,2020,final,14.2
5,paul juda,USA,5.8,8.05,0.0,2020,final,13.85
5,paul juda,USA,5.8,8.45,0.0,2020,final,14.25
5,eddie penev,USA,5.9,8.0,0.0,2020,final,13.9
5,eddie penev,USA,6.3,7.9,0.0,2020,final,14.2
7,michael moran,USA,5.6,8.35,0.0,2020,final,13.95
7,michael moran,USA,5.6,8.5,0.0,2020,final,14.1
8,shane wiskus,USA,5.8,8.4,0.0,2020,final,14.2
8,shane wiskus,USA,6.0,7.75,0.0,2020,final,13.75
9,colin van wicklen,USA,5.4,8.6,-0.1,2020,final,13.9
9,colin van wicklen,USA,5.4,8.5,0.0,2020,final,13.9
10,akash modi,USA,5.9,8.0,0.0,2020,final,13.9
10,akash modi,USA,5.8,8.0,0.0,2020,final,13.8
11,yul moldauer,USA,6.1,7.75,0.0,2020,final,13.85
11,yul moldauer,USA,6.1,7.95,-0.3,2020,final,13.75
12,nicolas kuebler,USA,5.0,8.9,0.0,2020,final,13.9
12,nicolas kuebler,USA,5.0,8.7,-0.1,2020,final,13.6
13,allan bower,USA,5.7,7.55,0.0,2020,final,13.25
13,allan bower,USA,5.7,8.5,0.0,2020,final,14.2
14,timothy wang,USA,5.7,8.3,0.0,2020,final,14.0
14,timothy wang,USA,5.7,7.5,0.0,2020,final,13.2
15,donothan bailey,USA,5.5,8.2,-0.1,2020,final,13.6
15,donothan bailey,USA,5.5,7.9,0.0,2020,final,13.4
15,alex diab,USA,5.6,7.8,0.0,2020,final,13.4
15,alex diab,USA,5.7,8.0,-0.1,2020,final,13.6
17,ian gunther,USA,5.0,8.3,0.0,2020,final,13.3
17,ian gunther,USA,5.0,8.25,-0.1,2020,final,13.15
18,isaiah drake,USA,5.5,8.15,0.0,2020,final,13.65
18,isaiah drake,USA,5.4,7.3,0.0,2020,final,12.7
19,colt walker,USA,5.5,7.7,-0.1,2020,final,13.1
19,colt walker,USA,5.3,7.45,0.0,2020,final,12.75
20,sean melton,USA,5.3,7.95,0.0,2020,final,13.25
20,sean melton,USA,5.5,6.65,0.0,2020,final,12.15
21,robert neff,USA,6.2,7.0,0.0,2020,final,13.2
21,robert neff,USA,6.4,5.25,0.0,2020,final,11.65
22,kiwan watts,USA,5.1,6.95,0.0,2020,final,12.05
22,kiwan watts,USA,5.1,7.2,0.0,2020,final,12.3
1,artur dalaloyan,RUS,6.2,8.7,0.0,2018,final,14.899999999999999
2,kenzo shirai,JPN,6.8,8.066,0.0,2018,final,14.866
3,carlos edriel yulo,PHI,6.2,8.4,0.0,2018,final,14.600000000000001
4,yul moldauer,USA,5.8,8.766,0.0,2018,final,14.565999999999999
5,artem dolgopyat,ISR,6.4,8.166,0.0,2018,final,14.566
6,nikita nagornyy,RUS,6.4,8.1,0.0,2018,final,14.5
7,samuel mikulak,USA,5.7,8.533,0.0,2018,final,14.233
8,kazuma kaya,JPN,5.8,8.3,0.0,2018,final,14.100000000000001
9,ahmet önder,TUR,6.0,7.833,0.0,2018,final,13.833
1,artur dalaloyan,RUS,6.2,8.633,0.0,2018,qual,14.832999999999998
2,kenzo shirai,JPN,6.8,8.033,0.0,2018,qual,14.832999999999998
3,nikita nagornyy,RUS,6.4,8.4,0.0,2018,qual,14.8
4,carlos edriel yulo,PHI,6.2,8.566,0.0,2018,qual,14.766000000000002
5,ahmet önder,TUR,6.0,8.533,0.0,2018,qual,14.533
6,yul moldauer,USA,5.8,8.633,0.0,2018,qual,14.433
7,artem dolgopyat,ISR,6.4,8.0,0.0,2018,qual,14.4
8,samuel mikulak,USA,5.7,8.633,0.0,2018,qual,14.332999999999998
8,kazuma kaya,JPN,5.7,8.633,0.0,2018,qual,14.332999999999998
10,james hall,none,5.9,8.433,0.0,2018,qual,14.333
11,benjamin gischard,SUI,6.0,8.233,0.0,2018,qual,14.233
12,loris frasca,FRA,5.9,8.3,0.0,2018,qual,14.200000000000001
13,casimir schmidt,NED,6.0,8.2,0.0,2018,qual,14.2
14,xiao ruoteng,CHN,6.1,8.1,0.0,2018,qual,14.2
14,kim han-sol,SKR,6.1,8.1,0.0,2018,qual,14.2
16,deng shudi,CHN,5.9,8.366,-0.1,2018,qual,14.366
17,milad karimi,KAZ,5.8,8.366,0.0,2018,qual,14.166
18,marcel nguyen,none,6.1,8.066,0.0,2018,qual,14.166
19,dominick cunningham,none,6.0,8.116,0.0,2018,qual,14.116
20,tang chia-hung,none,6.1,8.1,-0.1,2018,qual,14.299999999999999
21,rayderley zapata,ESP,6.4,8.0,-0.3,2018,qual,14.700000000000001
22,pablo brägger,SUI,5.6,8.466,0.0,2018,qual,14.065999999999999
23,jonathan vrolix,BEL,5.9,8.166,0.0,2018,qual,14.066
24,tomas gonzalez,CHI,6.1,7.966,0.0,2018,qual,14.065999999999999
25,stian skjerahaug,NOR,5.4,8.633,0.0,2018,qual,14.033
26,wataru tanigawa,JPN,5.9,8.133,0.0,2018,qual,14.033
27,arthur mariano,BRA,5.6,8.466,-0.1,2018,qual,14.165999999999999
28,noah kuavita,BEL,5.5,8.466,0.0,2018,qual,13.966
29,lee jun-ho,SKR,5.8,8.166,0.0,2018,qual,13.966000000000001
29,maksym vasylenko,UKR,5.8,8.166,0.0,2018,qual,13.966000000000001
31,max whitlock,none,5.9,8.066,0.0,2018,qual,13.966000000000001
32,colin van wicklen,USA,5.5,8.433,0.0,2018,qual,13.933
33,lee chih-kai,none,5.8,8.133,0.0,2018,qual,13.933
34,marian dragulescu,ROU,5.5,8.4,0.0,2018,qual,13.9
35,dmitrii lankin,RUS,6.1,8.1,-0.3,2018,qual,14.5
36,heikki saarenketo,FIN,6.0,8.0,-0.1,2018,qual,14.1
37,randy leru,CUB,5.9,8.0,0.0,2018,qual,13.9
38,oskar kirmes,FIN,5.5,8.366,0.0,2018,qual,13.866
39,julien gobaux,FRA,5.8,8.133,-0.1,2018,qual,14.033
40,nicolau mir,ESP,5.7,8.133,0.0,2018,qual,13.832999999999998
41,scott morgan,CAN,5.9,7.933,0.0,2018,qual,13.833
42,filip lidbeck,SWE,5.1,8.708,0.0,2018,qual,13.808
