Rank,D Score,E Score,Pen.,Total,year,medal,Name,nation,round_0,round_final,round_qual,tot_final,tot_fin_d,tot_fin_ddiv,tot_fin_ddiv_rank
5.0,5.5,8.366,0.1,13.766,2018,0,59,0,False,True,False,14.766,81.213,1199.1911579999999,1204.1911579999999
6.0,5.5,8.233,0.3,13.433,2018,0,98,0,False,True,False,14.433,79.3815,1145.7131895,1151.7131895
7.0,5.8,7.566,0.0,13.366,2018,0,84,0,False,True,False,14.366,83.3228,1197.0153448,1204.0153448
8.0,5.4,7.666,0.0,13.066,2018,0,22,0,False,True,False,14.066,75.9564,1068.4027224000001,1076.4027224000001
1.0,6.7,8.533,0.1,15.133,2019,0,118,0,False,True,False,16.133,108.0911,1743.8337162999999,1744.8337162999999
3.0,5.8,8.266,0.0,14.066,2019,0,13,0,False,True,False,15.066,87.3828,1316.5092648000002,1319.5092648000002
4.0,5.5,8.466,0.0,13.966,2019,0,59,0,False,True,False,14.966,82.313,1231.896358,1235.896358
5.0,5.5,8.433,0.1,13.833,2019,0,98,0,False,True,False,14.833,81.5815,1210.0983895000002,1215.0983895000002
6.0,5.4,8.4,0.0,13.8,2019,0,114,0,False,True,False,14.8,79.92000000000002,1182.8160000000003,1188.8160000000003
7.0,5.3,8.4,0.1,13.6,2019,0,22,0,False,True,False,14.6,77.38,1129.7479999999998,1136.7479999999998
8.0,6.0,7.8,0.3,13.5,2019,0,84,0,False,True,False,14.5,87.0,1261.5,1269.5
1.0,5.1,8.1,0.0,13.2,2019,0,7,42,False,True,False,14.2,72.41999999999999,1028.3639999999998,1029.3639999999998
2.0,4.9,8.066,0.0,12.966,2019,0,12,10,False,True,False,13.966,68.4334,955.7408644000001,957.7408644000001
3.0,4.9,8.033,0.0,12.933,2019,0,69,39,False,True,False,13.933,68.27170000000001,951.2295961000001,954.2295961000001
4.0,4.9,8.0,0.0,12.9,2019,0,9,5,False,True,False,13.9,68.11000000000001,946.7290000000003,950.7290000000003
5.0,4.7,7.966,0.0,12.666,2019,0,0,36,False,True,False,13.666,64.23020000000001,877.7699132000001,882.7699132000001
6.0,5.6,7.0,-0.3,12.3,2019,0,38,34,False,True,False,13.3,74.48,990.5840000000001,996.5840000000001
1.0,5.6,7.533,0.0,13.133,2019,0,38,34,False,False,True,13.133,73.5448,965.8638583999999,966.8638583999999
2.0,5.1,7.966,0.0,13.066,2019,0,7,42,False,False,True,13.066,66.6366,870.6738156,872.6738156
3.0,4.9,8.066,0.0,12.966,2019,0,69,39,False,False,True,12.966,63.5334,823.7740643999999,826.7740643999999
4.0,5.4,7.666,-0.1,12.966,2019,0,14,42,False,False,True,12.966,70.0164,907.8326424,911.8326424
5.0,4.7,8.166,0.0,12.866,2019,0,0,36,False,False,True,12.866,60.4702,778.0095931999999,783.0095931999999
6.0,4.9,8.066,-0.1,12.866,2019,0,12,10,False,False,True,12.866,63.043400000000005,811.1163844,817.1163844
7.0,4.9,8.033,-0.1,12.833,2019,0,9,5,False,False,True,12.833,62.8817,806.9608561,813.9608561
8.0,5.4,7.4,0.0,12.8,2019,0,13,35,False,False,True,12.8,69.12,884.7360000000001,892.7360000000001
9.0,4.9,7.833,0.0,12.733,2019,0,62,14,False,False,True,12.733,62.39170000000001,794.4335161000001,803.4335161000001
10.0,5.2,7.8,-0.3,12.7,2019,0,40,42,False,False,True,12.7,66.03999999999999,838.7079999999999,848.7079999999999
11.0,4.9,7.766,0.0,12.666,2019,0,99,28,False,False,True,12.666,62.06340000000001,786.0950244000002,797.0950244000002
12.0,5.1,7.5,0.0,12.6,2019,0,46,25,False,False,True,12.6,64.25999999999999,809.6759999999998,821.6759999999998
13.0,5.0,7.633,-0.1,12.533,2019,0,87,13,False,False,True,12.533,62.665,785.380445,798.380445
14.0,4.2,8.266,0.0,12.466,2019,0,31,12,False,False,True,12.466,52.3572,652.6848551999999,666.6848551999999
15.0,4.5,7.9,0.0,12.4,2019,0,57,32,False,False,True,12.4,55.800000000000004,691.9200000000001,706.9200000000001
16.0,5.0,7.666,-0.3,12.366,2019,0,2,13,False,False,True,12.366,61.83,764.5897799999999,780.5897799999999
17.0,4.6,7.733,0.0,12.333,2019,0,130,18,False,False,True,12.333,56.7318,699.6732894,716.6732894
19.0,4.4,7.8,0.0,12.2,2019,0,60,31,False,False,True,12.2,53.68,654.896,673.896
19.0,4.4,7.8,0.0,12.2,2019,0,122,36,False,False,True,12.2,53.68,654.896,673.896
21.0,4.9,7.166,0.0,12.066,2019,0,21,18,False,False,True,12.066,59.12340000000001,713.3829444000002,734.3829444000002
22.0,4.4,7.6,0.0,12.0,2019,0,43,10,False,False,True,12.0,52.800000000000004,633.6,655.6
23.0,4.8,7.066,0.0,11.866,2019,0,26,13,False,False,True,11.866,56.956799999999994,675.8493887999999,698.8493887999999
25.0,5.1,6.666,0.0,11.766,2019,0,115,18,False,False,True,11.766,60.0066,706.0376556,731.0376556
26.0,4.5,7.533,-0.3,11.733,2019,0,53,19,False,False,True,11.733,52.798500000000004,619.4848005000001,645.4848005000001
27.0,4.6,6.966,0.0,11.566,2019,0,30,38,False,False,True,11.566,53.2036,615.3528376,642.3528376
29.0,4.2,7.166,0.0,11.366,2019,0,20,3,False,False,True,11.366,47.7372,542.5810152,571.5810152
31.0,4.4,6.833,0.0,11.233,2019,0,51,17,False,False,True,11.233,49.425200000000004,555.1932716000001,586.1932716000001
32.0,4.1,7.1,0.0,11.2,2019,0,28,26,False,False,True,11.2,45.919999999999995,514.3039999999999,546.3039999999999
33.0,4.6,6.666,-0.1,11.166,2019,0,105,21,False,False,True,11.166,51.3636,573.5259576,606.5259576
35.0,4.8,6.3,0.0,11.1,2019,0,102,41,False,False,True,11.1,53.279999999999994,591.4079999999999,626.4079999999999
1.0,5.8,8.425,0.0,14.225,2015,0,94,31,False,True,False,15.225,88.30499999999999,1344.4436249999999,1345.4436249999999
2.0,5.5,8.325,0.0,13.825,2015,0,11,34,False,True,False,14.825,81.5375,1208.7934374999998,1210.7934374999998
3.0,5.3,8.175,0.0,13.475,2015,0,57,32,False,True,False,14.475,76.7175,1110.4858125,1113.4858125
4.0,5.3,8.125,-0.1,13.325,2015,0,18,1,False,True,False,14.325,75.9225,1087.5898124999999,1091.5898124999999
5.0,5.0,7.95,0.0,12.95,2015,0,86,3,False,True,False,13.95,69.75,973.0124999999999,978.0124999999999
6.0,5.2,7.75,-0.1,12.85,2015,0,44,18,False,True,False,13.85,72.02,997.477,1003.477
7.0,5.2,7.125,-0.4,11.925,2015,0,123,41,False,True,False,12.925,67.21000000000001,868.6892500000001,875.6892500000001
8.0,4.9,7.175,-0.3,11.775,2015,0,16,17,False,True,False,12.775,62.597500000000004,799.6830625000001,807.6830625000001
1.0,5.8,8.6,0.0,14.4,2015,0,11,34,False,False,True,14.4,83.52,1202.6879999999999,1203.6879999999999
5.0,5.4,7.933,0.0,13.333,2015,0,124,21,False,False,True,13.333,71.99820000000001,959.9520006000001,964.9520006000001
6.0,5.4,7.9,0.0,13.3,2015,0,6,12,False,False,True,13.3,71.82000000000001,955.2060000000001,961.2060000000001
7.0,5.4,7.866,0.0,13.266,2015,0,18,1,False,False,True,13.266,71.63640000000001,950.3284824000001,957.3284824000001
8.0,5.1,8.033,0.0,13.133,2015,0,57,32,False,False,True,13.133,66.97829999999999,879.6260138999999,887.6260138999999
9.0,5.4,7.8,-0.1,13.1,2015,0,44,18,False,False,True,13.1,70.74000000000001,926.6940000000001,935.6940000000001
10.0,5.8,7.266,0.0,13.066,2015,0,110,16,False,False,True,13.066,75.78280000000001,990.1780648000001,1000.1780648000001
11.0,5.4,7.533,0.0,12.933,2015,0,106,44,False,False,True,12.933,69.8382,903.2174406,914.2174406
12.0,5.1,7.566,0.0,12.666,2015,0,128,10,False,False,True,12.666,64.5966,818.1805356,830.1805356
14.0,4.5,7.966,0.0,12.466,2015,0,111,16,False,False,True,12.466,56.096999999999994,699.3052019999999,713.3052019999999
15.0,5.4,7.166,-0.1,12.466,2015,0,41,44,False,False,True,12.466,67.3164,839.1662424,854.1662424
19.0,4.6,7.5,-0.1,12.0,2015,0,42,29,False,False,True,12.0,55.199999999999996,662.4,681.4
21.0,5.7,6.033,0.0,11.733,2015,0,123,41,False,False,True,11.733,66.8781,784.6807473000001,805.6807473000001
22.0,4.7,6.9,0.0,11.6,2015,0,86,3,False,False,True,11.6,54.52,632.432,654.432
24.0,4.6,6.733,0.0,11.333,2015,0,91,17,False,False,True,11.333,52.1318,590.8096894,614.8096894
26.0,4.6,6.5,0.0,11.1,2015,0,61,21,False,False,True,11.1,51.059999999999995,566.766,592.766
28.0,4.9,6.033,-0.1,10.833,2015,0,45,41,False,False,True,10.833,53.081700000000005,575.0340561,603.0340561
29.0,4.2,6.5,0.0,10.7,2015,0,8,25,False,False,True,10.7,44.94,480.85799999999995,509.85799999999995
30.0,4.9,5.633,0.0,10.533,2015,0,104,12,False,False,True,10.533,51.6117,543.6260361,573.6260361
31.0,4.0,6.466,0.0,10.466,2015,0,122,36,False,False,True,10.466,41.864,438.1486239999999,469.1486239999999
32.0,5.0,5.433,-0.1,10.333,2015,0,100,15,False,False,True,10.333,51.665,533.854445,565.854445
34.0,4.8,5.433,-0.1,10.133,2015,0,50,20,False,False,True,10.133,48.6384,492.85290719999995,526.8529071999999
36.0,5.1,4.833,0.0,9.933,2015,0,68,3,False,False,True,9.933,50.6583,503.1888939,539.1888939
1.0,5.8,8.625,0.0,14.425,2014,0,79,34,False,True,False,15.425,89.465,1379.9976250000002,1380.9976250000002
2.0,5.7,8.6,0.0,14.3,2014,0,39,34,False,True,False,15.3,87.21000000000001,1334.313,1336.313
3.0,5.5,8.325,-0.1,13.725,2014,0,65,7,False,True,False,14.725,80.9875,1192.5409375,1195.5409375
4.0,5.5,8.075,-0.1,13.475,2014,0,81,2,False,True,False,14.475,79.6125,1152.3909374999998,1156.3909374999998
5.0,5.5,7.45,0.0,12.95,2014,0,29,30,False,True,False,13.95,76.725,1070.3137499999998,1075.3137499999998
6.0,5.5,7.8,-0.5,12.8,2014,0,44,18,False,True,False,13.8,75.9,1047.42,1053.42
7.0,5.3,7.825,-0.4,12.725,2014,0,116,36,False,True,False,13.725,72.74249999999999,998.3908124999999,1005.3908124999999
8.0,5.0,7.675,-0.1,12.575,2014,0,80,37,False,True,False,13.575,67.875,921.4031249999999,929.4031249999999
1.0,5.8,8.75,0.0,14.55,2014,0,79,34,False,False,True,14.55,84.39,1227.8745000000001,1228.8745000000001
2.0,5.6,8.75,0.0,14.35,2014,0,39,34,False,False,True,14.35,80.36,1153.166,1155.166
3.0,5.8,8.5,0.0,14.3,2014,0,81,2,False,False,True,14.3,82.94,1186.042,1189.042
4.0,5.6,8.3,0.0,13.9,2014,0,65,7,False,False,True,13.9,77.84,1081.976,1085.976
5.0,5.3,8.2,0.0,13.5,2014,0,44,18,False,False,True,13.5,71.55,965.925,970.925
6.0,5.4,8.25,-0.3,13.35,2014,0,116,36,False,False,True,13.35,72.09,962.4015,968.4015
7.0,5.5,7.7,0.0,13.2,2014,0,29,30,False,False,True,13.2,72.6,958.3199999999998,965.3199999999998
9.0,5.0,7.85,0.0,12.85,2014,0,80,37,False,False,True,12.85,64.25,825.6125,834.6125
10.0,4.8,8.15,-0.2,12.75,2014,0,67,10,False,False,True,12.75,61.199999999999996,780.3,790.3
16.0,4.0,8.2,0.0,12.2,2014,0,37,41,False,False,True,12.2,48.8,595.3599999999999,611.3599999999999
19.0,4.7,7.45,-0.1,12.05,2014,0,10,5,False,False,True,12.05,56.635000000000005,682.4517500000001,701.4517500000001
20.0,5.5,6.45,0.0,11.95,2014,0,34,30,False,False,True,11.95,65.725,785.4137499999999,805.4137499999999
1.0,5.7,8.05,0.0,13.75,2013,0,88,7,False,True,False,14.75,84.075,1240.10625,1241.10625
2.0,5.8,7.875,-0.1,13.575,2013,0,15,35,False,True,False,14.575,84.535,1232.0976249999999,1234.0976249999999
3.0,5.4,8.075,0.0,13.475,2013,0,103,28,False,True,False,14.475,78.165,1131.438375,1134.438375
4.0,5.3,8.0,-0.2,13.1,2013,0,23,16,False,True,False,14.1,74.72999999999999,1053.6929999999998,1057.6929999999998
5.0,5.6,7.575,-0.3,12.875,2013,0,71,45,False,True,False,13.875,77.69999999999999,1078.0874999999999,1083.0874999999999
6.0,5.2,7.875,-0.3,12.775,2013,0,117,12,False,True,False,13.775,71.63000000000001,986.7032500000001,992.7032500000001
7.0,4.9,7.85,0.0,12.75,2013,0,68,3,False,True,False,13.75,67.375,926.40625,933.40625
7.0,4.7,8.05,0.0,12.75,2013,0,57,32,False,True,False,13.75,64.625,888.59375,895.59375
1.0,5.8,8.2,0.0,14.0,2013,0,15,35,False,False,True,14.0,81.2,1136.8,1137.8
2.0,5.5,7.95,0.0,13.45,2013,0,117,12,False,False,True,13.45,73.975,994.9637499999999,996.9637499999999
3.0,5.7,7.75,0.0,13.45,2013,0,88,7,False,False,True,13.45,76.66499999999999,1031.1442499999998,1034.1442499999998
4.0,5.2,7.95,0.0,13.15,2013,0,103,28,False,False,True,13.15,68.38000000000001,899.1970000000001,903.1970000000001
5.0,4.7,7.9,0.0,12.6,2013,0,57,32,False,False,True,12.6,59.22,746.1719999999999,751.1719999999999
6.0,4.8,7.8,0.0,12.6,2013,0,71,45,False,False,True,12.6,60.48,762.0479999999999,768.0479999999999
7.0,4.9,7.7,0.0,12.6,2013,0,68,3,False,False,True,12.6,61.74,777.924,784.924
8.0,5.2,7.6,-0.3,12.5,2013,0,23,16,False,False,True,12.5,65.0,812.5,820.5
9.0,4.8,7.65,-0.1,12.35,2013,0,67,10,False,False,True,12.35,59.279999999999994,732.108,741.108
13.0,5.0,7.05,-0.1,11.95,2013,0,106,44,False,False,True,11.95,59.75,714.0124999999999,727.0124999999999
15.0,4.4,7.45,0.0,11.85,2013,0,19,38,False,False,True,11.85,52.14,617.859,632.859
16.0,4.4,7.45,0.0,11.85,2013,0,41,44,False,False,True,11.85,52.14,617.859,633.859
21.0,5.2,6.05,-0.1,11.15,2013,0,108,33,False,False,True,11.15,57.980000000000004,646.4770000000001,667.4770000000001
22.0,5.2,5.85,0.0,11.05,2013,0,114,12,False,False,True,11.05,57.46000000000001,634.9330000000001,656.9330000000001
1.0,6.5,8.5,0.0,15.0,2013,1,118,43,False,True,False,16.0,104.0,1664.0,1665.0
2.0,6.2,8.433,0.0,14.633,2013,0,126,22,False,True,False,15.633,96.9246,1515.2222717999998,1517.2222717999998
3.0,6.1,8.5,0.0,14.6,2013,0,79,34,False,True,False,15.6,95.16,1484.4959999999999,1487.4959999999999
4.0,6.2,8.266,0.0,14.466,2013,0,89,23,False,True,False,15.466,95.8892,1483.0223672,1487.0223672
5.0,6.1,8.233,0.0,14.333,2013,0,63,37,False,True,False,15.333,93.5313,1434.1154229,1439.1154229
8.0,5.7,7.966,0.1,13.566,2013,0,48,7,False,True,False,14.566,83.0262,1209.3596292000002,1217.3596292000002
1.0,6.4,8.933,0.0,15.333,2014,1,118,43,False,True,False,16.333,104.5312,1707.3080896,1708.3080896
2.0,6.3,8.5,0.0,14.8,2014,0,79,34,False,True,False,15.8,99.54,1572.7320000000002,1574.7320000000002
4.0,6.5,8.2,0.0,14.7,2014,0,97,43,False,True,False,15.7,102.05,1602.185,1606.185
5.0,6.3,8.366,0.0,14.666,2014,0,126,22,False,True,False,15.666,98.6958,1546.1684028000002,1551.1684028000002
7.0,5.7,8.2,0.0,13.9,2014,0,54,22,False,True,False,14.9,84.93,1265.457,1272.457
8.0,6.0,7.4,0.3,13.1,2014,0,32,14,False,True,False,14.1,84.6,1192.86,1200.86
1.0,6.8,9.0,0.0,15.8,2015,1,118,43,False,True,False,16.8,114.24,1919.232,1920.232
2.0,6.4,8.7,0.0,15.1,2015,0,76,35,False,True,False,16.1,103.04000000000002,1658.9440000000004,1660.9440000000004
6.0,6.0,8.733,0.0,14.733,2015,0,49,14,False,True,False,15.733,94.398,1485.163734,1491.163734
7.0,6.2,8.366,-0.1,14.466,2015,0,32,14,False,True,False,15.466,95.8892,1483.0223672,1490.0223672
