Rank,Athlete,Nation,D,E,ND,year,round,Total,medal
113,casimir schmidt,NED,5.5,8.533,0.0,2015,qual,14.03,0
114,christos chatziefstathiou georgios,GRE,5.2,8.8,0.0,2015,qual,14.0,0
115,rokas guscinas,LTU,5.4,8.6,0.0,2015,qual,14.0,0
116,heron bonilla ruiz rodolfo,MEX,5.7,8.3,0.0,2015,qual,14.0,0
117,hugh smith jay,CAN,5.2,8.766,0.0,2015,qual,13.96,0
118,dimitrios markousis,GRE,5.4,8.566,0.0,2015,qual,13.96,0
118,adam babos,HUN,5.4,8.566,0.0,2015,qual,13.96,0
120,oskar kirmes,FIN,5.3,8.633,0.0,2015,qual,13.93,0
121,eduard shaulov,UZB,5.4,8.533,0.0,2015,qual,13.93,0
122,maxime gentges,BEL,5.7,8.233,0.0,2015,qual,13.93,0
123,anton fokin,UZB,6.8,7.133,0.0,2015,qual,13.93,0
124,michael trane,SWE,5.2,8.666,0.0,2015,qual,13.86,0
125,levente vagner,HUN,5.3,8.566,0.0,2015,qual,13.86,0
126,vid hidvegi,HUN,5.2,8.633,0.0,2015,qual,13.83,0
127,norbert dudas,HUN,5.7,8.133,0.0,2015,qual,13.83,0
128,ilya kornev,KAZ,5.7,8.1,0.0,2015,qual,13.8,0
129,simao almeida,POR,5.8,8.0,0.0,2015,qual,13.8,0
130,ryohei kato,JPN,6.6,7.166,0.0,2015,qual,13.76,0
131,xing loo phay,MAS,5.4,8.333,0.0,2015,qual,13.73,0
131,javier cervantes quezada,MEX,5.4,8.333,0.0,2015,qual,13.73,0
133,tristian perez rivera,PUR,5.7,8.033,0.0,2015,qual,13.73,0
134,luis fuentes bustamante jose,VEN,5.9,7.833,0.0,2015,qual,13.73,0
135,alexis torres,PUR,6.2,7.533,0.0,2015,qual,13.73,0
136,nikita ignatyev,RUS,6.7,7.033,0.0,2015,qual,13.73,0
137,vlasios maras,GRE,5.1,8.6,0.0,2015,qual,13.7,0
138,chiang huang ko,TPE,5.4,8.3,0.0,2015,qual,13.7,0
139,mohamed ahmed amr essam,EGY,5.0,8.666,0.0,2015,qual,13.66,0
140,daniel radovesnicky,CZE,5.1,8.566,0.0,2015,qual,13.66,0
141,tee kriangkum robert,THA,5.5,8.166,0.0,2015,qual,13.66,0
142,claudio capelli,SUI,5.6,8.066,0.0,2015,qual,13.66,0
143,siddharth verma,IND,5.2,8.433,0.0,2015,qual,13.63,0
143,artem dolgopyat,ISR,5.2,8.433,0.0,2015,qual,13.63,0
145,martin konecny,CZE,5.4,8.233,0.0,2015,qual,13.63,0
146,andres martin martin,ESP,5.8,7.833,0.0,2015,qual,13.63,0
147,frank rijken,NED,6.1,7.533,0.0,2015,qual,13.63,0
148,yordan aleksandrov,BUL,5.2,8.4,0.0,2015,qual,13.6,0
149,nicolas cordoba,ARG,4.8,8.766,0.0,2015,qual,13.56,0
150,adam rzepa,POL,4.9,8.666,0.0,2015,qual,13.56,0
151,paolo principi,ITA,5.1,8.466,0.0,2015,qual,13.56,0
152,reiss beckford,JAM,5.4,8.166,0.0,2015,qual,13.56,0
153,yu huang ta,TPE,5.2,8.333,0.0,2015,qual,13.53,0
154,christopher soos,SWE,5.0,8.5,0.0,2015,qual,13.5,0
155,christos lympanovnos,GRE,5.5,8.0,0.0,2015,qual,13.5,0
