Rank,NOC,D,E,Pen.,Total,Name
147,DOM,4.900,8.000,0,12.900,Audrys NIN REYES
148,BLR,5.100,7.800,0,12.900,Dzianis SANUVONH
148,EGY,5.100,7.800,0,12.900,Ashraf ELMARAGHY Ahmed
150,FIN,5.200,7.700,0,12.900,Heikki NIVA
151,NZL,5.400,7.500,0,12.900,Devy DYSON
152,RUS,5.800,7.100,0,12.900,Nikita IGNATYEV
153,IRL,5.100,7.766,0,12.866,Jack NEILL
154,TPE,4.300,8.500,0,12.800,Wei YU Chao
155,CRC,5.100,7.700,0,12.800,Tarik SOTO BYFIELD
156,TPE,5.700,7.100,0,12.800,Chien HSU Ping
157,SRB,4.800,7.933,0,12.733,Bojan DEJANOVIC
158,COL,5.500,7.233,0,12.733,Andres MARTINEZ MORENO
159,AUT,4.400,8.300,0,12.700,Lukas KRANZLMUELLER
160,NZL,4.600,8.100,0,12.700,David BISHOP
161,CHI,5.400,7.300,0,12.700,Juan RAFFO
162,SRB,4.900,7.766,0,12.666,Petar VELICKOVIC
163,SUI,5.400,7.266,0,12.666,Claudio CAPELLI
164,PUR,5.600,7.066,0,12.666,Alexis TORRES
165,ITA,6.100,6.566,0,12.666,Paolo PRINCIPI
166,RSA,4.800,7.833,0,12.633,Ryan PATTERSON
167,BRA,6.100,6.533,0,12.633,Caio CAMPOS SOUZA
168,PER,4.900,7.700,0,12.600,Daniel AGUERO BARRERA
169,MEX,5.300,7.300,0,12.600,Kevin CERDA GASTELUM
170,NOR,5.400,7.200,0,12.600,Marcus CONRADI
171,SWE,4.300,8.266,0,12.566,Michael TRANE
172,SRB,4.700,7.866,0,12.566,Milos PAUNOVIC
173,DEN,4.300,8.233,0,12.533,Joao FUGLSIG
174,KAZ,5.100,7.433,0,12.533,Stepan GORBACHEV
175,ROU,5.400,7.133,0,12.533,Vasile MUNTEAN Andrei
176,USA,5.800,6.733,0,12.533,Christopher BROOKS
177,THA,5.300,7.200,0,12.500,Tee KRIANGKUM Robert
178,MEX,6.100,6.400,0,12.500,Javier CERVANTES QUEZADA
179,SVK,5.000,7.466,0,12.466,Samuel PIASECKY
180,CYP,4.300,8.100,0,12.400,Irodotos GEORGALLAS
181,MON,4.000,8.300,0,12.300,Kevin CROVETTO
182,PER,5.400,6.900,0,12.300,Maurcio GALLEGOS CHACON
183,AZE,6.000,6.300,0,12.300,Oleg STEPKO
184,USA,5.300,6.966,0,12.266,Donnell WHITTENBURG
185,MAR,4.100,8.133,0,12.233,Hamza HOSSAINI
186,IND,4.300,7.933,0,12.233,Rakesh PATRA
187,MGL,4.700,7.466,0,12.166,Erdenebold GANBAT
188,ROU,5.000,7.166,0,12.166,Daniel BERBECAR Marius
189,JAM,4.000,8.133,0,12.133,Caleb FAULK
189,TUR,4.000,8.133,0,12.133,Ibrahim COLAK
191,BEL,4.900,7.233,0,12.133,Jimmy VERBAEYS
192,GRE,5.300,6.766,0,12.066,Eleftherios PETROUNIAS
193,DEN,4.600,7.366,0,11.966,Joachim WINTHER
194,USA,5.000,6.966,0,11.966,Paul RUGGERI III
195,COL,5.600,6.333,0,11.933,Carlos CALVO
196,GRE,5.300,6.600,0,11.900,Christos LYMPANOVNOS
197,IRL,4.200,7.633,0,11.833,Kieran BEHAN
198,PER,5.700,6.133,0,11.833,Luis PIZARRO SILVA
199,KOR,5.300,6.466,0,11.766,Sangwook LEE
200,ARG,4.100,7.600,0,11.700,Federico MOLINARI
201,AUT,5.000,6.633,0,11.633,Fabian LEIMLEHNER
202,IND,5.600,6.033,0,11.633,Ashish KUMAR
203,BUL,5.000,6.600,0,11.600,Yordan ALEKSANDROV
204,BLR,5.600,5.933,0,11.533,Aliaksandr TSAREVICH
205,HKG,4.200,7.300,0,11.500,Chung NG Kiu
