Rank,Athlete,Nation,D,E,ND,year,round,Total,medal
119,bram louwije,BEL,5.1,8.533,0.0,2015,qual,13.63,0
120,irodotos georgallas,CYP,5.9,7.733,0.0,2015,qual,13.63,0
121,filip ude,CRO,4.8,8.8,0.0,2015,qual,13.6,0
122,lukas kranzlmueller,AUT,5.2,8.4,0.0,2015,qual,13.6,0
122,mikhail koudinov,NZL,5.2,8.4,0.0,2015,qual,13.6,0
124,tomas gonzalez,CHI,5.7,7.9,0.0,2015,qual,13.6,0
124,jeffrey wammes,NED,5.7,7.9,0.0,2015,qual,13.6,0
126,sherif el saharty mohamed,EGY,5.7,7.866,0.0,2015,qual,13.56,0
127,ilya yakauleu,BLR,6.0,7.566,0.0,2015,qual,13.56,0
128,javier balboa gonzalez,MEX,6.3,7.266,0.0,2015,qual,13.56,0
129,christos chatziefstathiou georgios,GRE,4.9,8.633,0.0,2015,qual,13.53,0
130,dimitrios markousis,GRE,5.3,8.233,0.0,2015,qual,13.53,0
130,sangwook lee,KOR,5.3,8.233,0.0,2015,qual,13.53,0
132,hamilton sabot,FRA,5.7,7.833,0.0,2015,qual,13.53,0
133,nicola bartolini,ITA,5.1,8.4,0.0,2015,qual,13.5,0
134,luke wiwatowski,AUS,5.2,8.3,0.0,2015,qual,13.5,0
135,vid hidvegi,HUN,5.3,8.2,0.0,2015,qual,13.5,0
136,osvaldo martinez erazun,ARG,5.2,8.266,0.0,2015,qual,13.46,0
137,marcus conradi,NOR,5.3,8.166,0.0,2015,qual,13.46,0
138,david jessen,CZE,4.9,8.533,0.0,2015,qual,13.43,0
139,ryan patterson,RSA,5.0,8.433,0.0,2015,qual,13.43,0
140,nicolas cordoba,ARG,5.1,8.333,0.0,2015,qual,13.43,0
140,heikki niva,FIN,5.1,8.333,0.0,2015,qual,13.43,0
142,ilya kornev,KAZ,5.7,7.733,0.0,2015,qual,13.43,0
143,david vecsernyes,HUN,4.8,8.6,0.0,2015,qual,13.4,0
144,yordan aleksandrov,BUL,5.2,8.2,0.0,2015,qual,13.4,0
145,randy leru,CUB,5.7,7.7,0.0,2015,qual,13.4,0
146,hung shek wai,HKG,4.8,8.566,0.0,2015,qual,13.36,0
147,andrew smith,IRL,4.8,8.533,0.0,2015,qual,13.33,0
148,robert tvorogal,LTU,5.0,8.333,0.0,2015,qual,13.33,0
149,abdeldjalil bourguieg mohamed,ALG,5.1,8.233,0.0,2015,qual,13.33,0
150,milos paunovic,SRB,5.3,8.033,0.0,2015,qual,13.33,0
151,jimmy verbaeys,BEL,5.4,7.933,0.0,2015,qual,13.33,0
152,dmitrijs trefilovs,LAT,4.8,8.5,0.0,2015,qual,13.3,0
153,rafael morales casado,PUR,5.6,7.7,0.0,2015,qual,13.3,0
153,wei yu chao,TPE,5.6,7.7,0.0,2015,qual,13.3,0
155,joao fuglsig,DEN,4.7,8.566,0.0,2015,qual,13.26,0
156,hyok han jong,PRK,5.9,7.366,0.0,2015,qual,13.26,0
157,slavomir michnak,SVK,4.4,8.8,0.0,2015,qual,13.2,0
158,nikolay nam,KAZ,4.8,8.4,0.0,2015,qual,13.2,0
159,chien hsu ping,TPE,5.4,7.8,0.0,2015,qual,13.2,0
160,francisco barretto junior,BRA,5.9,7.3,0.0,2015,qual,13.2,0
161,christian bruno decidet,CHI,5.5,7.6,0.0,2015,qual,13.1,0
161,juan raffo,CHI,5.5,7.6,0.0,2015,qual,13.1,0
163,daniel corral,MEX,6.3,6.8,0.0,2015,qual,13.1,0
164,tomas kuzmickas,LTU,4.6,8.466,0.0,2015,qual,13.06,0
165,marcus frandsen,DEN,4.7,8.333,0.0,2015,qual,13.03,0
166,tarik soto byfield,CRC,4.5,8.5,0.0,2015,qual,13.0,0
167,hellal metidji,ALG,4.6,8.4,0.0,2015,qual,13.0,0
168,alen dimic,SLO,5.1,7.9,0.0,2015,qual,13.0,0
169,mohamed reghib,ALG,4.5,8.466,0.0,2015,qual,12.96,0
170,michael trane,SWE,4.9,8.066,0.0,2015,qual,12.96,0
171,junior rojo mendoza,VEN,5.1,7.866,0.0,2015,qual,12.96,0
172,chung ng kiu,HKG,5.2,7.766,0.0,2015,qual,12.96,0
173,caleb faulk,JAM,5.3,7.666,0.0,2015,qual,12.96,0
174,kevin cerda gastelum,MEX,5.7,7.266,0.0,2015,qual,12.96,0
175,kai lee chih,TPE,4.6,8.333,0.0,2015,qual,12.93,0
176,samuel piasecky,SVK,4.8,8.133,0.0,2015,qual,12.93,0
177,jorge vega lopez,GUA,4.9,8.033,0.0,2015,qual,12.93,0
178,tee kriangkum robert,THA,5.5,7.433,0.0,2015,qual,12.93,0
179,carlos calvo,COL,6.2,6.733,0.0,2015,qual,12.93,0
180,dzianis sanuvonh,BLR,4.8,8.1,0.0,2015,qual,12.9,0
181,aleksandar batinkov,BUL,5.0,7.9,0.0,2015,qual,12.9,0
182,daniel aguero barrera,PER,4.7,8.166,0.0,2015,qual,12.86,0
183,daniel radovesnicky,CZE,4.9,7.966,0.0,2015,qual,12.86,0
184,vitalijs kardasovs,LAT,4.5,8.333,0.0,2015,qual,12.83,0
185,ashraf elmaraghy ahmed,EGY,5.3,7.533,0.0,2015,qual,12.83,0
186,eduard shaulov,UZB,4.7,8.066,0.0,2015,qual,12.76,0
187,chiang huang ko,TPE,5.1,7.633,0.0,2015,qual,12.73,0
188,christopher soos,SWE,4.8,7.9,0.0,2015,qual,12.7,0
189,xing loo phay,MAS,5.0,7.7,0.0,2015,qual,12.7,0
190,ahmed aldyani,QAT,5.1,7.6,0.0,2015,qual,12.7,0
191,petro pakhnyuk,AZE,5.7,7.0,0.0,2015,qual,12.7,0
192,erdenebold ganbat,MGL,5.3,7.333,0.0,2015,qual,12.63,0
193,aleksejs pajada,LAT,3.9,8.7,0.0,2015,qual,12.6,0
194,tiaan grobler,RSA,4.6,7.933,0.0,2015,qual,12.53,0
195,maurcio gallegos chacon,PER,5.2,7.233,0.0,2015,qual,12.43,0
196,david bishop,NZL,4.0,8.4,0.0,2015,qual,12.4,0
197,heron bonilla ruiz rodolfo,MEX,5.5,6.866,0.0,2015,qual,12.36,0
198,adam rzepa,POL,4.3,8.033,0.0,2015,qual,12.33,0
199,ivan vargovsky,SVK,4.9,7.433,0.0,2015,qual,12.33,0
200,audrys nin reyes,DOM,5.4,6.9,0.0,2015,qual,12.3,0
201,jack neill,IRL,3.7,8.566,0.0,2015,qual,12.26,0
202,mohamed ahmed amr essam,EGY,4.8,7.466,0.0,2015,qual,12.26,0
203,martin angelov,BUL,3.5,8.733,0.0,2015,qual,12.23,0
204,petar velickovic,SRB,4.3,7.9,0.0,2015,qual,12.2,0
205,abderrazak nasser,MAR,4.4,7.8,0.0,2015,qual,12.2,0
