Rank,Athlete,Nation,D,E,ND,year,round,Total,medal
138,vladyslav hryko,UKR,5.3,7.9,0.0,2015,qual,13.2,0
139,artur davtyan,ARM,4.7,8.466,0.0,2015,qual,13.16,0
140,norbert dudas,HUN,5.1,8.066,0.0,2015,qual,13.16,0
141,maxime gentges,BEL,5.9,7.266,0.0,2015,qual,13.16,0
142,rakesh patra,IND,4.9,8.233,0.0,2015,qual,13.13,0
143,tung le thanh,VIE,5.4,7.733,0.0,2015,qual,13.13,0
143,hung pham phuoc,VIE,5.4,7.733,0.0,2015,qual,13.13,0
145,kenneth ikeda,CAN,5.6,7.533,0.0,2015,qual,13.13,0
146,tee kriangkum robert,THA,5.2,7.9,0.0,2015,qual,13.1,0
147,daniel berbecar marius,ROU,5.5,7.6,0.0,2015,qual,13.1,0
148,ioan bataga cristian,ROU,5.7,7.366,0.0,2015,qual,13.06,0
149,brinn bevan,GBR,5.7,7.333,0.0,2015,qual,13.03,0
149,ilya kornev,KAZ,5.7,7.333,0.0,2015,qual,13.03,0
151,joachim winther,DEN,4.7,8.3,0.0,2015,qual,13.0,0
152,mykyta yermak,UKR,5.2,7.8,0.0,2015,qual,13.0,0
153,heron bonilla ruiz rodolfo,MEX,5.5,7.5,0.0,2015,qual,13.0,0
154,francisco barretto junior,BRA,6.8,6.175,0.0,2015,qual,12.97,0
155,kai lee chih,TPE,5.3,7.633,0.0,2015,qual,12.93,0
156,reiss beckford,JAM,6.4,6.5,0.0,2015,qual,12.9,0
157,marcus frandsen,DEN,4.5,8.366,0.0,2015,qual,12.86,0
157,michael trane,SWE,4.5,8.366,0.0,2015,qual,12.86,0
159,hamza hossaini,MAR,4.7,8.166,0.0,2015,qual,12.86,0
160,siddharth verma,IND,4.6,8.233,0.0,2015,qual,12.83,0
161,vinzenz hoeck,AUT,5.2,7.6,0.0,2015,qual,12.8,0
162,fabian leimlehner,AUT,5.7,7.1,0.0,2015,qual,12.8,0
163,eduard shaulov,UZB,4.7,8.066,0.0,2015,qual,12.76,0
164,vasile muntean andrei,ROU,5.7,7.066,0.0,2015,qual,12.76,0
165,ibrahim colak,TUR,4.4,8.333,0.0,2015,qual,12.73,0
166,wei yu chao,TPE,5.0,7.7,0.0,2015,qual,12.7,0
167,vitalijs kardasovs,LAT,5.2,7.5,0.0,2015,qual,12.7,0
168,rachid moussa,MAR,4.6,8.066,0.0,2015,qual,12.66,0
169,dzianis sanuvonh,BLR,5.4,7.266,0.0,2015,qual,12.66,0
170,joao fuglsig,DEN,4.2,8.433,0.0,2015,qual,12.63,0
171,tiaan grobler,RSA,4.6,8.033,0.0,2015,qual,12.63,0
172,levente vagner,HUN,5.4,7.2,0.0,2015,qual,12.6,0
173,sherif el saharty mohamed,EGY,5.3,7.266,0.0,2015,qual,12.56,0
174,andres martin martin,ESP,5.5,7.066,0.0,2015,qual,12.56,0
175,rokas guscinas,LTU,5.6,6.966,0.0,2015,qual,12.56,0
176,nestor abad,ESP,6.4,6.166,0.0,2015,qual,12.56,0
177,martin angelov,BUL,4.4,8.133,0.0,2015,qual,12.53,0
178,nicola bartolini,ITA,5.3,7.233,0.0,2015,qual,12.53,0
178,thanh dinh phuong,VIE,5.3,7.233,0.0,2015,qual,12.53,0
180,jimmy verbaeys,BEL,5.5,7.0,0.0,2015,qual,12.5,0
181,daniel radovesnicky,CZE,4.9,7.533,0.0,2015,qual,12.43,0
182,casimir schmidt,NED,5.1,7.333,0.0,2015,qual,12.43,0
183,tommy ramos,PUR,5.6,6.833,0.0,2015,qual,12.43,0
184,jostyn fuenmayor berroeta,VEN,4.8,7.566,0.0,2015,qual,12.36,0
185,caleb faulk,JAM,5.6,6.766,0.0,2015,qual,12.36,0
186,hin jim man,HKG,4.1,8.233,0.0,2015,qual,12.33,0
187,adam rzepa,POL,5.6,6.733,0.0,2015,qual,12.33,0
188,alexis torres,PUR,5.0,7.3,0.0,2015,qual,12.3,0
189,petro pakhnyuk,AZE,5.7,6.533,0.0,2015,qual,12.23,0
190,aliaksandr tsarevich,BLR,6.3,5.933,0.0,2015,qual,12.23,0
191,cristhian meneses passaro,URU,4.1,8.066,0.0,2015,qual,12.16,0
192,ashish kumar,IND,4.4,7.766,0.0,2015,qual,12.16,0
193,timothy tay kai cheng,SIN,4.8,7.366,0.0,2015,qual,12.16,0
194,mohamed ahmed amr essam,EGY,5.3,6.866,0.0,2015,qual,12.16,0
194,junior rojo mendoza,VEN,5.3,6.866,0.0,2015,qual,12.16,0
196,jack neill,IRL,3.5,8.6,0.0,2015,qual,12.1,0
197,anton fokin,UZB,5.1,7.0,0.0,2015,qual,12.1,0
198,gabriel gan zi jie,SIN,4.3,7.633,0.0,2015,qual,11.93,0
199,adam babos,HUN,4.9,7.033,0.0,2015,qual,11.93,0
200,paata nozadze,GEO,3.5,8.366,0.0,2015,qual,11.86,0
201,tristian perez rivera,PUR,4.9,6.933,0.0,2015,qual,11.83,0
202,javier balboa gonzalez,MEX,5.7,6.1,0.0,2015,qual,11.8,0
203,jon gunnarsson,ISL,4.2,7.566,0.0,2015,qual,11.76,0
204,alexander shatilov,ISR,5.9,5.866,0.0,2015,qual,11.76,0
205,abderrazak nasser,MAR,4.1,7.633,0.0,2015,qual,11.73,0
